Step,Value
271,0
372,0.0
560,0.0
808,0.0
1057,0.0
1256,0.0
1561,0.0
1716,24.99999976158142
1963,25.0
2045,24.999999046325684
2086,25.0
2147,24.99999976158142
2193,24.999999046325684
2260,24.999999284744263
2328,24.99999976158142
2374,24.999999403953552
2427,25.0
2472,24.999999523162842
2519,24.999999046325684
2601,24.99999976158142
2730,25.0
2818,24.99999976158142
2906,24.99999976158142
3000,24.999999523162842
3112,24.999999046325684
3299,25.0
3430,25.0
3586,25.0
3754,25.0
3963,50.0
4115,150.0
4261,225.0
4438,274.9999997615814
4584,350.0
4718,399.9999990463257
4840,450.0
4962,474.9999997615814
5088,474.9999990463257
5221,474.99999928474426
5353,549.9999997615814
5495,599.9999994039536
5634,675.0
5761,724.9999995231628
5907,774.9999990463257
6055,874.9999997615814
6201,975.0
6367,1049.9999997615814
6543,1149.9999997615814
6752,1249.9999995231628
6999,1324.9999990463257
7290,1325.0
8540,1325.0
10586,1325.0
14386,1325.0
18186,1325.0
21066,1325.0
22122,1325.0
23189,1324.9999997615814
23369,1350.0
25349,1374.9999990463257
25506,1425.0
25684,1424.9999997615814
25896,1449.9999990463257
26115,1499.9999992847443
27194,1574.9999997615814
27374,1599.9999994039536
27543,1625.0
27766,1699.9999995231628
27918,1799.9999990463257
28137,1899.9999997615814
28371,2000.0
28564,2099.9999997615814
28753,2199.9999997615814
28948,2299.999999523163
29134,2399.9999990463257
29314,2500.0
29481,2600.0
29667,2700.0
29843,2800.0
30026,2900.0
30206,3000.0
30383,3100.0
30539,3199.9999997615814
30707,3300.0
30888,3399.9999990463257
31075,3500.0
31267,3599.9999997615814
31454,3699.9999990463257
31642,3799.9999992847443
31843,3899.9999997615814
32032,3999.9999994039536
32238,4100.0
32427,4199.999999523163
32624,4299.999999046326
32833,4399.999999761581
33079,4500.0
33336,4574.999999761581
33602,4674.999999761581
33831,4774.999999523163
34049,4874.999999046326
34256,4975.0
34528,5075.0
34746,5175.0
35005,5275.0
35214,5375.0
35394,5475.0
