Step,Value
175,0
1354,0.0
2463,0.0
5385,0.0
5417,25.0
7105,25.0
8773,24.999999046325684
9073,24.99999976158142
11985,25.0
13333,24.999999046325684
16331,25.0
16931,24.99999976158142
17187,75.0
17305,75.00000095367432
17433,75.00000095367432
17563,75.0
17669,100.0
17839,99.99999809265137
17931,149.9999942779541
18031,149.99999856948853
18119,150.0
18195,149.99999856948853
18273,150.00000381469727
18357,149.99999713897705
18663,150.0
19722,150.0
21126,150.0
23205,150.0
23612,200.0
24169,275.0
24336,275.0
24370,274.9999990463257
24412,274.9999997615814
24499,275.0
24632,274.9999990463257
24780,275.0
24974,274.9999997615814
25225,275.0
25514,325.0000009536743
25907,400.0000009536743
26150,450.0
26358,525.0
26503,599.9999980926514
26658,599.9999942779541
26802,674.9999985694885
26960,675.0
27172,749.9999985694885
27460,750.0000038146973
27810,824.999997138977
28058,925.0
29638,950.0
32206,950.0
34437,950.0
36896,950.0
39640,975.0
40116,1025.0
40509,1124.9999990463257
40772,1199.9999997615814
41009,1300.0
41263,1399.9999990463257
41467,1500.0
41668,1599.9999997615814
41856,1700.0
42067,1800.0000009536743
42304,1875.0000009536743
42655,1925.0
42991,2000.0
43437,2024.9999980926514
44589,2099.999994277954
44731,2149.9999985694885
44874,2250.0
45013,2349.9999985694885
45153,2450.0000038146973
45303,2549.999997138977
45450,2650.0
45610,2750.0
45758,2850.0
45926,2950.0
46109,3050.0
46300,3150.0
46490,3250.0
46665,3349.9999990463257
46847,3449.9999997615814
47023,3550.0
47197,3649.9999990463257
47399,3750.0
47578,3849.9999997615814
47802,3950.0
48012,4050.0000009536743
48213,4150.000000953674
48407,4250.0
48571,4325.0
48721,4424.999998092651
48871,4524.999994277954
49024,4599.9999985694885
49183,4700.0
49330,4799.9999985694885
49475,4900.000003814697
49610,4999.999997138977
49741,5100.0
49870,5200.0
50012,5300.0
50147,5400.0
50286,5500.0
50420,5600.0
50550,5700.0
50688,5799.999999046326
50821,5899.999999761581
50957,6000.0
51088,6099.999999046326
51221,6200.0
51344,6299.999999761581
51470,6400.0
51603,6500.000000953674
51731,6600.000000953674
51857,6700.0
51987,6800.0
52113,6899.999998092651
52244,6999.999994277954
52376,7099.9999985694885
52500,7200.0
52629,7299.9999985694885
52754,7400.000003814697
