Step,Value
257,0
107,0.0
257,0.0
367,0.0
716,0.0
865,0.0
1115,0.0
1310,0.0
1406,0.0
1713,0.0
2147,27.77777671813965
2446,27.5
2723,109.09090805053711
2794,189.58332920074463
2974,188.4615364074707
3518,214.28571224212646
3615,240.0
3731,239.0625
3856,238.23529815673828
4024,237.5
4124,263.157901763916
4327,262.5
4573,261.90476989746094
4853,313.6363716125488
5123,417.39129638671875
5363,520.8333492279053
5570,600.0
5792,700.0
6024,775.0
6247,875.0
6485,975.0
6803,1075.0
7096,1175.0
7439,1200.0
7745,1300.0
8074,1302.7777767181396
8421,1302.5
11420,1309.090908050537
14221,1314.5833292007446
16101,1338.4615364074707
18710,1389.2857122421265
19740,1415.0
20739,1489.0625
20944,1563.2352981567383
21155,1662.5
21374,1763.157901763916
21596,1862.5
21807,1961.904769897461
22004,2063.636371612549
22220,2167.3912963867188
23280,2270.8333492279053
23479,2325.0
23696,2425.0
23915,2525.0
24134,2625.0
24338,2725.0
24555,2825.0
24766,2900.0
24987,3000.0
25198,3100.0
25401,3202.7777767181396
25601,3302.5
25801,3409.090908050537
26013,3514.5833292007446
26213,3613.4615364074707
26433,3689.2857122421265
26641,3790.0
26848,3889.0625
27070,3988.2352981567383
27287,4087.5
27489,4188.157901763916
27701,4287.5
27902,4386.904769897461
28117,4488.636371612549
28357,4592.391296386719
28575,4695.833349227905
28780,4750.0
28980,4850.0
29185,4950.0
29405,5050.0
29600,5150.0
29803,5250.0
30004,5350.0
30213,5450.0
30422,5550.0
30636,5627.77777671814
30844,5727.5
31052,5834.090908050537
31249,5939.583329200745
31443,6038.461536407471
31656,6139.2857122421265
31853,6240.0
32048,6339.0625
32253,6438.235298156738
32466,6537.5
32637,6638.157901763916
32836,6712.5
33048,6811.904769897461
33251,6913.636371612549
33475,7017.391296386719
33696,7120.833349227905
34812,7200.0
35934,7275.0
36149,7350.0
36369,7450.0
36590,7550.0
36821,7650.0
37057,7750.0
37308,7850.0
37534,7950.0
37737,8052.77777671814
37950,8152.5
38162,8259.090908050537
38361,8364.583329200745
38569,8463.46153640747
38772,8564.285712242126
38975,8665.0
39178,8764.0625
39387,8863.235298156738
39591,8962.5
39792,9063.157901763916
39983,9162.5
40186,9261.904769897461
40393,9363.636371612549
40598,9467.391296386719
40805,9570.833349227905
41004,9650.0
41220,9750.0
41434,9850.0
41645,9950.0
41864,10050.0
42069,10150.0
42277,10250.0
42494,10350.0
42703,10450.0
42911,10552.77777671814
43120,10652.5
43326,10759.090908050537
43539,10864.583329200745
43773,10963.46153640747
43973,11064.285712242126
44190,11165.0
44380,11264.0625
44586,11363.235298156738
44792,11462.5
44998,11563.157901763916
45201,11662.5
45377,11761.904769897461
45589,11863.636371612549
45801,11967.391296386719
46023,12070.833349227905
46240,12150.0
46464,12250.0
46678,12350.0
46886,12450.0
47098,12550.0
47316,12650.0
47535,12750.0
47770,12850.0
47994,12950.0
48211,13052.77777671814
48419,13152.5
48642,13259.090908050537
48885,13364.583329200745
49108,13463.46153640747
49321,13564.285712242126
49542,13665.0
49771,13764.0625
49985,13863.235298156738
50209,13962.5
50422,14063.157901763916
50628,14162.5
50826,14261.904769897461
51037,14363.636371612549
51254,14467.391296386719
51464,14570.833349227905
51671,14650.0
51880,14750.0
52095,14850.0
52310,14950.0
52526,15050.0
52760,15150.0
52982,15250.0
53192,15350.0
