Step,Value
208,0.2788461446762085
311,0.2668810188770294
321,0.26791277527809143
328,0.2621951103210449
353,0.25779035687446594
407,0.24570024013519287
454,0.24229075014591217
536,0.2481343299150467
570,0.2438596487045288
605,0.23966942727565765
662,0.2462235689163208
702,0.24358974397182465
745,0.24161073565483093
782,0.239130437374115
819,0.23443223536014557
857,0.2287047803401947
914,0.22757111489772797
979,0.2247191071510315
1083,0.2336103469133377
1122,0.23262031376361847
1247,0.23576584458351135
1287,0.23387722671031952
1330,0.2323308289051056
1371,0.22902990877628326
1428,0.2310924381017685
1475,0.22983050346374512
1562,0.22727273404598236
1605,0.2274143248796463
1680,0.22499999403953552
1726,0.2224797159433365
1792,0.2220982164144516
1855,0.22210241854190826
1956,0.22341513633728027
2049,0.22449976205825806
2097,0.22365283966064453
2200,0.22545453906059265
2252,0.22557726502418518
2326,0.22355975210666656
2413,0.2246166616678238
