Step,Value
646,0
2082,-254.37892150878906
5420,-526.0029296875
7607,-615.7247772216797
10345,-743.158203125
12587,-816.4865112304688
13065,-806.5291442871094
15051,-795.434440612793
17414,-816.9609985351562
18638,-869.2917022705078
20567,-1041.0974884033203
23653,-1129.5847396850586
24501,-1161.7169494628906
25576,-1269.3616485595703
26824,-1368.7894592285156
28228,-1461.3404846191406
30430,-1543.9691162109375
31019,-1707.528549194336
32610,-1757.545394897461
33476,-1704.2350006103516
34655,-1771.4215087890625
36004,-1736.2750396728516
37682,-1830.583724975586
39745,-1768.393653869629
42485,-1824.9131469726562
43099,-1768.858528137207
44410,-1819.1668815612793
46036,-1853.5184364318848
47596,-1886.3456001281738
48712,-1895.5757675170898
51848,-1941.9436073303223
53556,-2038.7416877746582
56949,-1783.9299812316895
59579,-1788.0037269592285
61000,-1701.1608276367188
62264,-1622.7723026275635
63735,-1371.7974882125854
65222,-1250.720279932022
66329,-1185.5224585533142
67711,-1082.8949937820435
69705,-860.9167194366455
70496,-682.6550102233887
71362,-490.6858024597168
73341,-314.4918632507324
74520,-144.53899383544922
75976,-245.8839225769043
77650,-205.5098876953125
79148,-185.65288543701172
80441,-33.730072021484375
81310,81.93614196777344
82222,263.67969512939453
82926,518.6365776062012
83901,678.424503326416
85376,771.4453468322754
86253,959.8496856689453
87161,1232.1378135681152
87948,1501.192470550537
88817,1763.2948265075684
89970,1955.0111808776855
90920,2092.3274841308594
91775,2350.739965438843
92911,2503.632809638977
93943,2742.5898854732513
94605,2986.469271183014
95630,3203.9355268478394
96394,3357.24009513855
97426,3486.6012001037598
98404,3756.0408058166504
99479,4014.0298652648926
100697,4269.76993560791
101760,4447.950382232666
102958,4579.248489379883
104955,4745.081367492676
106193,4963.357406616211
108274,5200.025054931641
109477,5251.438331604004
110736,5493.9589195251465
111848,5732.066013336182
112617,5934.0735206604
113688,6208.271545410156
114669,6464.4940757751465
115966,6731.6757164001465
118274,6994.653926849365
119210,7062.12292098999
121494,7322.690948486328
123731,7326.36061668396
124913,7502.827145576477
127967,7733.639079809189
128990,7813.919069766998
130555,8074.167918205261
132174,8309.253492355347
132959,8570.281162261963
134078,8856.282657623291
135024,9112.988452911377
135792,9356.196479797363
136669,9627.855319976807
137808,9912.76937866211
138549,10168.759574890137
139400,10433.172088623047
140228,10699.874755859375
141054,10976.678276062012
141834,11254.60306930542
142581,11541.756488800049
143364,11788.731266021729
144180,12067.044967651367
145091,12338.191738128662
145847,12487.53470993042
146650,12775.158535003662
147487,13039.083293914795
148504,13315.384658813477
149761,13445.820531845093
