Step,Value
433,0
884,-86.4762191772461
1294,-304.9170227050781
1797,-410.6301727294922
3193,-608.746337890625
4379,-541.0893783569336
6748,-601.4924926757812
8611,-696.5372161865234
9848,-856.1252288818359
11264,-772.2228164672852
13212,-874.0763244628906
14414,-965.6260833740234
15644,-1160.8900909423828
16849,-1095.6992568969727
18174,-1223.0998229980469
19783,-1338.586410522461
21214,-1524.6378936767578
22600,-1443.0034255981445
24648,-1523.7687683105469
26787,-1590.3050689697266
27943,-1783.710189819336
29157,-1702.3068618774414
30232,-1773.6878204345703
31441,-1852.4070892333984
32688,-2036.070083618164
33900,-1933.2154922485352
35765,-2012.3396759033203
36615,-2035.477035522461
38153,-2223.1754150390625
38841,-2105.518211364746
39447,-2225.8652954101562
40258,-2309.886947631836
40982,-2516.3209838867188
41581,-2433.1562728881836
42557,-2582.618377685547
43180,-2644.337936401367
44250,-2882.414306640625
44876,-2788.6367416381836
45730,-2933.1466064453125
46292,-2988.8863677978516
47156,-3226.087860107422
48062,-3115.634941101074
49758,-3251.8692016601562
51068,-3290.4859466552734
52917,-3524.4789428710938
54163,-3361.477210998535
55269,-3455.975372314453
57355,-3459.2426147460938
58615,-3640.0218505859375
60389,-3473.3354873657227
61763,-3564.627067565918
63446,-3507.046298980713
64670,-3669.845245361328
66161,-3441.8245735168457
67517,-3480.010887145996
68769,-3348.190647125244
69739,-3471.22998046875
70784,-3195.799503326416
71480,-3185.1542892456055
71957,-3019.106876373291
73042,-3147.735565185547
73863,-2812.1077003479004
74604,-2765.895652770996
75391,-2575.4690589904785
76250,-2658.0105895996094
77376,-2276.5212745666504
78418,-2199.257957458496
79256,-1981.5344886779785
80362,-2077.9723205566406
81392,-1683.868808746338
82342,-1613.6433944702148
83776,-1385.507755279541
85075,-1492.1904602050781
86110,-1102.1746559143066
87095,-992.0348129272461
88150,-755.2896156311035
89217,-878.7986145019531
89969,-493.70773696899414
91089,-411.50240325927734
92401,-169.99872207641602
93753,-304.6707458496094
95026,114.48440170288086
96651,207.14054107666016
98638,472.84716415405273
99823,355.7915954589844
100781,824.1707420349121
101697,928.0553970336914
103195,1206.101863861084
104528,1119.2971496582031
105777,1593.249599456787
107017,1720.5261611938477
108336,1990.8595542907715
109349,1899.4443664550781
110059,2382.1766624450684
111020,2469.7515029907227
111760,2743.4456748962402
112698,2619.468719482422
113617,3089.300868988037
114908,3170.4353408813477
116000,3386.859432220459
116988,3250.373504638672
117853,3727.387233734131
118847,3792.07901763916
120647,4010.7259483337402
121597,3855.232635498047
122607,4319.953090667725
123864,4370.525245666504
125138,4563.7826499938965
126279,4399.793609619141
127422,4875.912136077881
128398,4927.301246643066
129437,5131.030391693115
130460,4968.330718994141
131471,5448.925868988037
132587,5511.227699279785
133598,5716.226192474365
134518,5566.275482177734
135556,6063.215847015381
136633,6138.718788146973
137678,6384.496395111084
138502,6244.232086181641
139448,6771.874660491943
140376,6880.262001037598
141456,7146.224178314209
142398,7052.627105712891
143433,7611.559230804443
144459,7714.757118225098
145440,8005.825435638428
146461,7936.276092529297
147360,8513.644313812256
148293,8644.435401916504
149106,8960.271053314209
149877,8917.630157470703
