Step,Value
1395,0
2074,-123.2452621459961
2919,-230.68154907226562
4116,-182.72924423217773
5418,72.08023834228516
6315,253.86367797851562
7451,403.617919921875
8630,574.4630813598633
9445,743.4298706054688
10548,831.8656768798828
11180,1015.7387542724609
11964,1011.1372680664062
12720,1151.0130615234375
13498,1184.0640258789062
14665,1237.0852966308594
15640,1091.114273071289
16863,1003.9561767578125
18042,1144.2565994262695
19193,1112.0310516357422
20141,1155.1524391174316
21279,1322.8463745117188
22413,1392.8398361206055
23405,1548.7030181884766
24221,1618.7759094238281
25097,1828.4970703125
26340,2021.976089477539
27365,2160.048843383789
28593,2345.0192108154297
29411,2587.918758392334
30326,2546.922882080078
32245,2647.8236770629883
33581,2884.159149169922
34604,3125.124168395996
36050,3233.745880126953
37346,3159.2716064453125
38601,3314.341812133789
40247,3313.984176635742
41544,3283.677932739258
42627,3292.9846954345703
43582,3558.9351196289062
45011,3681.221046447754
46030,3803.639747619629
47003,3916.470916748047
48003,4101.9407958984375
49178,4156.458972930908
50465,4418.250999450684
51562,4596.780418395996
52669,4869.273773193359
53623,5115.005844116211
54732,5317.46076965332
55948,5403.75862121582
57014,5658.129669189453
57929,5833.809341430664
59203,6098.146724700928
60604,6319.079406738281
61801,6490.651664733887
63018,6738.921035766602
64174,6981.29825592041
65496,7240.404815673828
66596,7470.222839355469
67800,7713.140182495117
68909,7975.196716308594
70093,8224.415084838867
71153,8476.030654907227
72210,8664.128829956055
73181,8912.045707702637
74493,9093.555213928223
75674,9304.137619018555
76750,9552.334854125977
78205,9801.925205230713
79209,10045.745811462402
80223,10308.330940246582
81767,10566.57373046875
82798,10785.196655273438
83876,11046.96745300293
84922,11298.822021484375
86314,11550.967956542969
87730,11790.952743530273
88948,11952.081966400146
90040,12211.832626342773
90975,12490.573463439941
92140,12561.370529174805
93590,12723.563957214355
94610,12889.805908203125
95622,13081.938919067383
97321,13359.231262207031
98333,13580.425903320312
99403,13866.258117675781
