Step,Value
519,0
930,-196.92706298828125
1388,-377.0914306640625
1958,-512.4447784423828
2536,-746.7495727539062
2999,-893.7140655517578
3697,-1137.4487915039062
4171,-1400.9827728271484
4534,-1794.2901611328125
4852,-2034.1892395019531
5097,-2282.7903747558594
5439,-2547.259506225586
5703,-2731.9147338867188
6047,-2925.6690826416016
6352,-3162.9519653320312
6680,-3353.6121368408203
6984,-3548.75439453125
7354,-3712.487060546875
7718,-3886.958770751953
8156,-4162.158798217773
8627,-4343.4332275390625
9073,-4567.987701416016
9478,-4643.198425292969
9862,-4747.391128540039
10190,-4790.6370849609375
10579,-4990.555572509766
11107,-5172.193328857422
11431,-5403.4403076171875
11857,-5535.190292358398
12189,-5802.96257019043
12648,-6028.263397216797
13036,-6271.613983154297
13530,-6523.817932128906
14015,-6731.203842163086
14568,-6997.211090087891
15000,-7225.52375793457
15424,-7436.750015258789
15841,-7735.429977416992
16259,-7959.617980957031
16909,-8213.487548828125
17607,-8364.958953857422
18666,-8559.432495117188
19312,-8760.23600769043
20055,-8957.298736572266
20550,-9321.026824951172
20988,-9535.045471191406
21479,-9759.203979492188
21934,-10029.351455688477
22389,-10284.235763549805
22841,-10615.081665039062
23314,-10876.988220214844
23741,-11153.23275756836
24141,-11341.492294311523
24695,-11583.397384643555
25196,-11813.488082885742
25817,-12025.306243896484
26352,-12202.81820678711
27456,-12358.376037597656
28276,-12542.36068725586
29016,-12772.193161010742
31076,-12946.618270874023
32441,-13175.579818725586
33340,-13389.477752685547
34427,-13566.324600219727
35896,-13734.085006713867
36655,-13908.73794555664
38447,-14024.136627197266
40096,-14109.842330932617
41747,-14258.116607666016
42811,-14486.846755981445
43282,-14634.817733764648
44873,-14649.398300170898
46629,-14824.004776000977
49432,-15026.861953735352
52491,-15171.887466430664
55514,-15292.192077636719
58635,-15463.180725097656
59940,-15635.616134643555
62349,-15750.77294921875
65302,-16014.458541870117
68257,-16137.041397094727
69565,-16264.738372802734
70816,-16329.891693115234
73465,-16437.06169128418
74476,-16563.495651245117
75091,-16585.663604736328
76439,-16557.0655670166
77655,-16607.66241455078
81133,-16687.82900238037
83624,-16761.86782836914
86919,-16854.04815673828
89406,-16940.492713928223
90954,-16982.51898956299
93892,-17073.15414428711
95138,-17174.135612487793
97505,-17279.534187316895
100096,-17286.38579559326
102277,-17385.374671936035
104450,-17533.152389526367
105452,-17617.923042297363
108287,-17712.330627441406
111343,-17774.935905456543
113928,-17822.971939086914
117062,-17866.690727233887
120217,-17828.11420440674
122453,-17805.525512695312
125570,-17788.340858459473
127289,-17747.51616668701
130451,-17765.878200531006
132510,-17745.53224182129
134029,-17663.413906097412
137271,-17598.938259124756
141210,-17592.220901489258
144373,-17652.434619903564
148373,-17629.04140472412
