Step,Value
2180,0
3452,7.5
3598,15.0
3730,25.000000762939454
6460,35.0
10060,37.5
13660,37.5
17260,37.50000114440918
17377,37.5
17496,47.50000076293946
17624,57.5
17757,67.49999961853028
17875,77.50000305175782
18008,87.50000152587891
18150,97.50000457763673
21750,107.49999618530273
22134,107.5
22229,117.4999969482422
22330,127.50000457763673
22431,137.50000457763673
22522,147.5
22624,157.5
22710,167.49999237060547
22797,177.49999771118166
22884,187.5
23857,197.5
23953,205.0
24039,215.0
24119,225.00000076293946
24207,235.0
24305,245.0
24390,255.0
24483,265.00000114440917
24567,275.0
24648,285.00000076293946
24752,295.0
24858,304.9999996185303
24950,315.0000030517578
25042,325.00000152587893
25134,335.00000457763673
25229,344.99999618530273
25317,355.0
25405,364.9999969482422
25505,375.00000457763673
25597,385.00000457763673
25687,395.0
25767,405.0
25850,414.99999237060547
25954,424.99999771118166
26041,435.0
26140,445.0
26261,455.0
26364,465.0
26445,475.00000076293946
26538,485.0
26627,495.0
26716,505.0
26806,515.0000011444092
26899,525.0
26982,535.0000007629394
27066,545.0
27157,554.9999996185303
27237,565.0000030517579
27320,575.000001525879
27411,585.0000045776369
27498,594.999996185303
27591,605.0000000000002
27666,614.9999969482424
27754,625.0000045776369
27842,635.0000045776369
27934,645.0000000000002
28010,655.0000000000002
28101,664.9999923706057
28188,674.9999977111819
28277,685.0000000000002
28349,695.0000000000002
28422,705.0000000000002
28504,715.0000000000002
28596,725.0000007629396
28674,735.0000000000002
28768,745.0000000000002
28835,755.0000000000002
28907,765.0000011444095
28981,775.0000000000002
29069,785.0000007629396
29155,795.0000000000002
29236,804.9999996185305
29308,815.0000030517581
29381,825.0000015258793
29459,835.0000045776371
29542,844.9999961853032
29617,855.0000000000005
29693,864.9999969482426
29768,875.0000045776371
29846,885.0000045776371
29932,895.0000000000005
30023,905.0000000000005
30101,914.9999923706059
30184,924.9999977111821
30259,935.0000000000005
30329,945.0000000000005
30419,955.0000000000005
30498,965.0000000000005
30577,975.0000007629399
30655,985.0000000000005
30737,995.0000000000005
30806,1005.0000000000005
30886,1015.0000011444097
30962,1025.0000000000005
31041,1035.0000007629399
31124,1045.0000000000005
31215,1054.9999996185306
31301,1065.000003051758
31383,1075.0000015258793
31465,1085.0000045776371
31550,1094.9999961853032
31631,1105.0000000000005
31720,1114.9999969482426
31798,1125.0000045776371
31883,1135.0000045776371
31954,1145.0000000000005
32025,1155.0000000000005
32100,1164.999992370606
32179,1174.999997711182
32260,1185.0000000000005
32346,1195.0000000000005
32430,1205.0000000000005
32518,1215.0000000000005
32594,1225.0000007629399
32682,1235.0000000000005
32757,1245.0000000000005
32822,1255.0000000000005
32909,1265.0000011444097
32996,1275.0000000000005
33083,1285.0000007629399
33152,1295.0000000000005
33231,1304.9999996185306
33310,1315.000003051758
33386,1325.0000015258793
33477,1335.0000045776371
33554,1344.9999961853032
33634,1355.0000000000005
33708,1364.9999969482426
33789,1375.0000045776371
33872,1385.0000045776371
33950,1395.0000000000005
34033,1405.0000000000005
34110,1414.999992370606
34178,1424.999997711182
34259,1435.0000000000005
34333,1445.0000000000005
34401,1455.0000000000005
34483,1465.0000000000005
34568,1475.0000007629399
34650,1485.0000000000005
34725,1495.0000000000005
34810,1505.0000000000005
34891,1515.0000011444097
34969,1525.0000000000005
35060,1535.0000007629399
35132,1545.0000000000005
35204,1554.9999996185306
35276,1565.000003051758
35349,1575.0000015258793
35434,1585.0000045776371
35519,1594.9999961853032
35598,1605.0000000000005
35677,1614.9999969482426
35753,1625.0000045776371
35830,1635.0000045776371
35896,1645.0000000000005
35974,1655.0000000000005
36049,1664.999992370606
36133,1674.999997711182
36222,1685.0000000000005
36301,1695.0000000000005
36376,1705.0000000000005
36448,1715.0000000000005
36529,1725.0000007629399
36618,1735.0000000000005
36693,1745.0000000000005
36779,1755.0000000000005
36870,1765.0000011444097
36945,1775.0000000000005
37010,1785.0000007629399
37085,1795.0000000000005
37172,1804.9999996185306
37256,1815.000003051758
37341,1825.0000015258793
37416,1835.0000045776371
37491,1844.9999961853032
37574,1855.0000000000005
37650,1864.9999969482426
37725,1875.0000045776371
37808,1885.0000045776371
37892,1895.0000000000005
37979,1905.0000000000005
38053,1914.999992370606
38142,1924.999997711182
38226,1935.0000000000005
38303,1945.0000000000005
38379,1955.0000000000005
38465,1965.0000000000005
38543,1975.0000007629399
38619,1985.0000000000005
38703,1995.0000000000005
38773,2005.0000000000005
38866,2015.0000011444097
38953,2025.0000000000005
39039,2035.0000007629399
39112,2045.0000000000005
39183,2054.9999996185306
39247,2065.000003051758
39329,2075.0000015258793
39409,2085.000004577637
39482,2094.9999961853027
39568,2105.0
39652,2114.9999969482424
39725,2125.000004577637
39803,2135.000004577637
39884,2145.0
39970,2155.0
40065,2164.9999923706055
40157,2174.9999977111815
40241,2185.0
40326,2195.0
40411,2205.0
40483,2215.0
40559,2225.0000007629396
40648,2235.0
40739,2245.0
40808,2255.0
40898,2265.000001144409
40980,2275.0
41073,2285.0000007629396
41148,2295.0
41223,2304.99999961853
41306,2315.0000030517576
41394,2325.000001525879
41476,2335.0000045776364
41561,2344.9999961853023
41651,2354.9999999999995
41741,2364.999996948242
41835,2375.0000045776364
41918,2385.0000045776364
41989,2394.9999999999995
42072,2404.9999999999995
42153,2414.999992370605
42222,2424.999997711181
42298,2434.9999999999995
42389,2444.9999999999995
42465,2454.9999999999995
42554,2464.9999999999995
42641,2475.000000762939
42732,2484.9999999999995
42817,2494.9999999999995
42906,2504.9999999999995
42998,2515.0000011444085
43091,2524.9999999999995
43173,2535.000000762939
43253,2544.9999999999995
43345,2554.9999996185297
43438,2565.000003051757
43524,2575.0000015258784
43612,2585.000004577636
43698,2594.999996185302
43778,2604.999999999999
43862,2614.9999969482415
43945,2625.000004577636
44023,2635.000004577636
44109,2644.999999999999
44189,2654.999999999999
44283,2664.9999923706046
44366,2674.9999977111806
44457,2684.999999999999
44543,2694.999999999999
44628,2704.999999999999
44712,2714.999999999999
44788,2725.0000007629387
44880,2734.999999999999
44960,2744.999999999999
45053,2754.999999999999
45135,2765.000001144408
45208,2774.999999999999
45297,2785.0000007629387
45383,2794.999999999999
45471,2804.9999996185293
45554,2815.0000030517567
45640,2825.000001525878
45727,2835.0000045776355
45798,2844.9999961853014
45877,2854.9999999999986
45952,2864.999996948241
46042,2875.0000045776355
46119,2885.0000045776355
46204,2894.9999999999986
46291,2904.9999999999986
46382,2914.999992370604
46466,2924.99999771118
46537,2934.9999999999986
46623,2944.9999999999986
46704,2954.9999999999986
46782,2964.9999999999986
46869,2975.0000007629383
46945,2984.9999999999986
47018,2994.9999999999986
47116,3004.9999999999986
47199,3015.0000011444076
47285,3024.9999999999986
47360,3035.0000007629383
47438,3044.9999999999986
47515,3054.999999618529
47591,3065.0000030517563
47676,3075.0000015258775
47753,3085.000004577635
47842,3094.999996185301
47922,3104.999999999998
47998,3114.9999969482406
48076,3125.000004577635
48154,3135.000004577635
48235,3144.999999999998
48318,3154.999999999998
48403,3164.9999923706036
48487,3174.9999977111797
48579,3184.999999999998
48663,3194.999999999998
48737,3204.999999999998
48820,3214.999999999998
48902,3225.000000762938
48979,3234.999999999998
49050,3244.999999999998
49127,3254.999999999998
49211,3265.000001144407
49287,3274.999999999998
49366,3285.000000762938
49457,3294.999999999998
49541,3304.9999996185284
49609,3315.000003051756
49693,3325.000001525877
49784,3335.0000045776346
