Step,Value
1124,0
1467,7.5
1873,17.5
2146,27.49999923706055
2359,37.5
2507,47.5
2670,57.50000152587891
2837,67.50000152587891
2961,77.5
3094,87.49999923706055
3229,97.5
3331,107.49999923706055
4304,117.4999969482422
5271,125.00000076293946
5828,132.50000457763673
6014,142.5
6133,152.5
6230,162.49999771118166
6310,172.50000457763673
6404,182.5000068664551
6549,192.5
6642,202.50000457763673
6732,212.50000610351563
6881,222.49999465942383
6980,232.5
7065,242.5
7147,252.5
7227,262.5
7330,272.49999923706054
7411,282.5
7498,292.5
7591,302.50000152587893
7690,312.50000152587893
7772,322.5
7851,332.4999992370606
7933,342.5
8014,352.49999923706054
8105,362.4999969482422
8194,372.50000076293946
8280,382.50000457763673
8371,392.5
8454,402.5
8556,412.49999771118166
8646,422.50000457763673
8745,432.5000068664551
8839,442.5
8923,452.50000457763673
9005,462.5000061035156
9106,472.4999946594238
9203,482.5
9298,492.5
9395,502.5
9490,512.5
9585,522.4999992370606
9681,532.5
9774,542.5
9884,552.5000015258789
9972,562.5000015258789
10055,572.5
10149,582.4999992370606
10243,592.5
10330,602.4999992370606
10429,612.4999969482423
10512,622.5000007629395
10609,632.5000045776368
10698,642.5
10782,652.5
10864,662.4999977111817
10947,672.5000045776367
11023,682.500006866455
11113,692.4999999999999
11188,702.5000045776367
11278,712.5000061035156
11368,722.4999946594238
11453,732.5
11530,742.5
11627,752.5
11707,762.5
11789,772.4999992370606
11873,782.5
11961,792.5
12054,802.5000015258789
12138,812.5000015258789
12226,822.5
12309,832.4999992370606
12397,842.5
12499,852.4999992370606
12588,862.4999969482423
12687,872.5000007629395
12765,882.5000045776368
12856,892.5
12935,902.5
13026,912.4999977111817
13098,922.5000045776367
13184,932.500006866455
13265,942.4999999999999
13349,952.5000045776367
13438,962.5000061035156
13536,972.4999946594238
13616,982.5
13700,992.5
13794,1002.5
13876,1012.5
13965,1022.4999992370606
14051,1032.5
14149,1042.5
14227,1052.5000015258788
14313,1062.5000015258788
14394,1072.5
14485,1082.4999992370606
14570,1092.5
14661,1102.4999992370606
14761,1112.4999969482424
