Step,Value
2974,0
6574,2.5
9346,2.5
12946,4.9999998807907104
16546,5.0
20146,5.0
23746,4.9999998807907104
25452,5.0000001192092896
26846,12.5
30446,20.000000953674316
34046,20.0
37646,20.000000596046448
41246,19.999999523162842
44846,20.00000035762787
48446,20.000000476837158
51373,20.000000596046448
54973,22.5
58573,22.499999165534973
60274,22.5
61143,32.50000059604645
63066,42.5
63341,52.5
63884,62.49999809265137
64557,72.50000190734863
65009,82.5
65449,92.5000011920929
65716,102.5
65998,112.50000238418579
66668,122.49999511241913
66966,132.4999976158142
67474,142.5
67686,152.5000022649765
67950,162.50000488758087
68149,172.5000023841858
68342,182.50000095367432
68577,192.5000023841858
68957,202.50000536441803
69107,212.49999475479126
69371,222.50000989437103
69663,232.50000047683716
70198,242.49999105930328
70590,252.49999523162842
70806,262.50000870227814
71015,272.5
71136,282.50000059604645
72095,292.5
72209,299.99999046325684
72345,309.9999885559082
72386,319.99999237060547
72538,329.99999046325684
72696,339.99999165534973
72867,349.99999046325684
73099,359.9999928474426
73851,369.99998557567596
74049,379.99998807907104
74311,389.99999046325684
74465,399.99999272823334
74701,409.9999953508377
75040,419.9999928474426
75316,429.99999141693115
75653,439.9999928474426
75959,449.99999582767487
76109,459.9999852180481
76429,470.00000035762787
76696,479.999990940094
76893,489.9999815225601
77037,499.99998569488525
77259,509.999999165535
77433,519.9999904632568
80229,529.9999910593033
82125,532.5000095367432
84013,537.4999904632568
84245,542.4999933242798
84361,552.499997138977
84571,562.4999952316284
85554,572.4999964237213
86739,579.9999856948853
86924,587.5000023841858
87142,597.4999951124191
88114,607.4999976158142
88234,614.9999904632568
89259,624.9999927282333
91243,632.4999858140945
91415,637.499988079071
91642,647.4999866485596
91926,657.499988079071
92077,667.4999910593033
92348,677.4999804496765
92607,687.4999955892563
93559,697.4999861717224
94680,704.9999910593033
95682,712.4999856948853
95821,719.9999896287918
95995,729.9999809265137
96147,739.9999815225601
96351,750.0000047683716
96819,759.9999809265137
96940,770.000002861023
97128,780.0000066757202
97400,790.0000047683716
97521,800.0000059604645
97717,809.9999809265137
97906,820.0000071525574
98699,829.9999998807907
99697,840.0000023841858
