Step,Value
60,0
187,100.0
203,100.0
296,199.99999237060547
330,300.0
413,400.0
540,500.00001525878906
581,500.00001525878906
649,600.0
665,700.0000076293945
690,800.0
709,900.0000228881836
736,1000.0000305175781
755,1100.0000305175781
772,1200.000015258789
793,1299.9999618530273
878,1400.0
901,1499.9999389648438
918,1599.9999389648438
943,1700.0000381469727
970,1800.0
995,1899.9999618530273
1021,1999.9999389648438
1066,2099.99991607666
1073,2199.9999389648438
1095,2300.0
1129,2407.692337036133
1157,2414.8147583007812
1187,2521.428482055664
