Step,Value
714,0
1184,50.0
1537,150.0
1834,250.00000762939453
2138,350.0
2396,450.0
2703,549.9999847412109
2970,649.9999771118164
3236,750.0
3502,849.9999847412109
3726,950.0
3938,1049.999984741211
4170,1150.0000305175781
4379,1250.0000076293945
4590,1350.0000305175781
4795,1449.9999618530273
4990,1550.0
5186,1649.999984741211
5382,1749.999984741211
5596,1850.0000457763672
5781,1950.0
5987,2050.000030517578
6191,2149.999984741211
6387,2250.0000228881836
6600,2349.9999389648438
6781,2450.0
6970,2550.0
7141,2650.0
7322,2750.0000076293945
7504,2850.0
7675,2950.0
7853,3049.999984741211
8020,3149.9999771118164
8195,3250.0
8365,3349.999984741211
8525,3450.0
8706,3549.999984741211
8879,3650.000030517578
9047,3750.0000076293945
9225,3850.000030517578
9388,3949.9999618530273
9556,4050.0
9714,4149.999984741211
9872,4249.999984741211
10048,4350.000045776367
10207,4450.0
10374,4550.000030517578
10545,4649.999984741211
10717,4750.000022888184
10881,4849.999938964844
11043,4950.0
11210,5050.0
11376,5150.0
11542,5250.0000076293945
11705,5350.0
11871,5450.0
12034,5549.999984741211
12207,5649.999977111816
12379,5750.0
12544,5849.999984741211
12690,5950.0
12860,6049.999984741211
13030,6150.000030517578
13183,6250.0000076293945
13354,6350.000030517578
13508,6449.999961853027
13671,6550.0
13840,6649.999984741211
14004,6749.999984741211
14169,6850.000045776367
14319,6950.0
14484,7050.000030517578
14646,7149.999984741211
14813,7250.000022888184
14990,7349.999938964844
15158,7450.0
15329,7550.0
15499,7650.0
15680,7750.0000076293945
15866,7850.0
16052,7950.0
16227,8049.999984741211
16389,8149.999977111816
16554,8250.0
16727,8349.999984741211
16889,8450.0
17063,8549.999984741211
17282,8650.000030517578
17460,8750.000007629395
17637,8850.000030517578
17814,8949.999961853027
17975,9050.0
18151,9149.999984741211
18327,9249.999984741211
18497,9350.000045776367
18667,9450.0
18848,9550.000030517578
19021,9649.999984741211
19184,9750.000022888184
19359,9849.999938964844
19538,9950.0
19713,10050.0
19894,10150.0
20072,10250.000007629395
20250,10350.0
20409,10450.0
20597,10549.999984741211
20760,10649.999977111816
20927,10750.0
21106,10849.999984741211
21280,10950.0
21466,11049.999984741211
21641,11150.000030517578
21827,11250.000007629395
22001,11350.000030517578
22167,11449.999961853027
22340,11550.0
22516,11649.999984741211
22682,11749.999984741211
22855,11850.000045776367
23025,11950.0
23207,12050.000030517578
23387,12149.999984741211
