Step,Value
340,1.0
599,1.0
701,1.0
840,1.0
957,1.0
1085,1.0
1264,1.0
1651,1.0
1863,1.0
2033,1.0
2180,1.0
2320,1.0
2358,1.0
2395,1.0
2429,1.0
2466,1.0
2499,1.0
2535,1.0
2575,1.0
2611,1.0
2658,1.0
2705,1.0
2754,1.0
2805,1.0
2842,1.0
2894,1.0
3004,1.0
3132,1.0
4291,1.0
4384,1.0
4481,1.0
4731,1.0
4901,1.0
5103,1.0
5226,1.0
5282,1.0
5352,1.0
5421,1.0
5507,1.0
5673,1.0
5826,1.0
6016,1.0
6215,1.0
6432,1.0
6690,1.0
6931,1.0
7225,1.0
7564,1.0
7851,1.0
8148,1.0
8454,1.0
8735,1.0
86,1.0
425,1.0
830,1.0
1125,1.0
1306,1.0
1515,1.0
1730,1.0
1870,1.0
1957,1.0
2046,1.0
2192,1.0
2265,1.0
2359,1.0
2432,1.0
2497,1.0
2569,1.0
2642,1.0
2760,1.0
2861,1.0
2934,1.0
3017,1.0
3275,1.0
3413,1.0
3532,1.0
3672,1.0
3795,1.0
3886,1.0
4021,1.0
4123,1.0
4215,1.0
4320,1.0
4404,1.0
4500,1.0
4624,1.0
4757,1.0
4929,1.0
5091,1.0
5251,1.0
5598,1.0
6621,1.0
7256,1.0
7741,1.0
8107,1.0
8255,1.0
8457,1.0
8680,1.0
8946,1.0
11035,1.0
11302,1.0
11563,1.0
12949,1.0
14265,1.0
17039,1.0
18128,1.0
18307,1.0
18467,1.0
18639,1.0
18818,1.0
18984,1.0
20993,1.0
24745,1.0
26683,1.0
26892,1.0
27959,1.0
29105,1.0
29278,1.0
29446,1.0
29605,1.0
29771,1.0
29914,1.0
30069,1.0
30215,1.0
30331,1.0
30491,1.0
30636,1.0
30749,1.0
30882,1.0
31009,1.0
31145,1.0
31291,1.0
31418,1.0
31550,1.0
31679,1.0
31806,1.0
31930,1.0
32058,1.0
32170,1.0
32299,1.0
32417,1.0
32558,1.0
33595,1.0
33731,1.0
33861,1.0
33981,1.0
34111,1.0
34245,1.0
34382,1.0
34522,1.0
34653,1.0
34786,1.0
34938,1.0
35079,1.0
35228,1.0
35368,1.0
35510,1.0
35661,1.0
35819,1.0
35993,1.0
36169,1.0
36329,1.0
36517,1.0
36695,1.0
36858,1.0
37028,1.0
37194,1.0
37343,1.0
37492,1.0
37647,1.0
37807,1.0
37963,1.0
38118,1.0
38282,1.0
38427,1.0
38575,1.0
38711,1.0
38849,1.0
39002,1.0
39152,1.0
39299,1.0
39443,1.0
39563,1.0
39689,1.0
39814,1.0
39946,1.0
40076,1.0
40198,1.0
40334,1.0
40470,1.0
40607,1.0
40720,1.0
40850,1.0
40968,1.0
41102,1.0
41237,1.0
41372,1.0
41498,1.0
41629,1.0
41751,1.0
41961,1.0
42091,1.0
42214,1.0
42335,1.0
42443,1.0
43471,1.0
43584,1.0
43701,1.0
43817,1.0
43944,1.0
44067,1.0
44181,1.0
44310,1.0
44437,1.0
44563,1.0
44680,1.0
44795,1.0
44911,1.0
45035,1.0
45160,1.0
45283,1.0
45412,1.0
45522,1.0
45635,1.0
45760,1.0
45881,1.0
45998,1.0
46120,1.0
46243,1.0
46365,1.0
46480,1.0
46597,1.0
46720,1.0
46835,1.0
46964,1.0
47083,1.0
47202,1.0
47327,1.0
47450,1.0
47581,1.0
47717,1.0
47848,1.0
47977,1.0
48106,1.0
48231,1.0
48363,1.0
48505,1.0
48635,1.0
48764,1.0
48892,1.0
49022,1.0
49156,1.0
49283,1.0
49415,1.0
49536,1.0
49651,1.0
49762,1.0
49879,1.0
50001,1.0
50122,1.0
50250,1.0
50378,1.0
50505,1.0
50620,1.0
50773,1.0
50905,1.0
51038,1.0
51166,1.0
51303,1.0
51427,1.0
51551,1.0
51678,1.0
51815,1.0
51944,1.0
52063,1.0
52194,1.0
52322,1.0
52448,1.0
52573,1.0
52696,1.0
52819,1.0
52949,1.0
53080,1.0
53209,1.0
53340,1.0
53482,1.0
53614,1.0
53750,1.0
53891,1.0
54028,1.0
54171,1.0
54308,1.0
54451,1.0
54588,1.0
54732,1.0
54869,1.0
55010,1.0
55145,1.0
55279,1.0
55419,1.0
55548,1.0
55684,1.0
55815,1.0
55945,1.0
56072,1.0
56195,1.0
56319,1.0
56450,1.0
56584,1.0
56720,1.0
56844,1.0
56982,1.0
57120,1.0
57256,1.0
57389,1.0
57526,1.0
57656,1.0
57794,1.0
57928,1.0
58060,1.0
58190,1.0
58335,1.0
58477,1.0
58613,1.0
58742,1.0
58879,1.0
59036,1.0
59173,1.0
59318,1.0
59463,1.0
59592,1.0
59729,1.0
59858,1.0
59992,1.0
60130,1.0
60261,1.0
60400,1.0
60532,1.0
60681,1.0
60815,1.0
60946,1.0
61080,1.0
61220,1.0
61357,1.0
61493,1.0
61624,1.0
61758,1.0
61908,1.0
62048,1.0
62198,1.0
62341,1.0
62488,1.0
62636,1.0
62774,1.0
62913,1.0
63052,1.0
63193,1.0
63333,1.0
63468,1.0
63633,1.0
63764,1.0
63907,1.0
64034,1.0
64162,1.0
64303,1.0
64451,1.0
64590,1.0
64736,1.0
64873,1.0
65021,1.0
65157,1.0
65307,1.0
65458,1.0
65596,1.0
65735,1.0
65883,1.0
66022,1.0
66184,1.0
66339,1.0
66483,1.0
66621,1.0
66761,1.0
66899,1.0
67036,1.0
67181,1.0
67325,1.0
67463,1.0
67601,1.0
67743,1.0
67888,1.0
68029,1.0
68161,1.0
68308,1.0
68439,1.0
68584,1.0
68732,1.0
68868,1.0
69014,1.0
69163,1.0
69301,1.0
69429,1.0
69572,1.0
69694,1.0
69833,1.0
69979,1.0
70120,1.0
70257,1.0
70398,1.0
70536,1.0
70682,1.0
70819,1.0
70958,1.0
71096,1.0
71254,1.0
71395,1.0
71540,1.0
71678,1.0
71819,1.0
71962,1.0
72102,1.0
72244,1.0
72379,1.0
72526,1.0
72679,1.0
72819,1.0
72956,1.0
73101,1.0
73244,1.0
73393,1.0
73526,1.0
73669,1.0
73810,1.0
73957,1.0
74103,1.0
74225,1.0
74361,1.0
74494,1.0
74637,1.0
74768,1.0
74912,1.0
75054,1.0
75202,1.0
75355,1.0
75499,1.0
75648,1.0
75792,1.0
