Step,Value
234,0
437,0.0
623,0.0
990,0.0
1272,0.0
1571,0.0
2191,0.0
2570,49.99999952316284
2831,50.0
3139,49.99999809265137
3564,75.0
3656,124.99999618530273
3745,125.00000381469727
3896,125.0000057220459
4048,175.0
4144,175.00000476837158
4298,175.0
4495,175.00000476837158
4659,199.99999237060547
4798,199.99999809265137
4992,200.0
5162,250.00000762939453
5362,275.0
5608,275.0000057220459
5849,375.0
6082,475.0
6316,575.0
6549,675.0
6762,775.0
7028,875.0
9689,975.0
11160,1000.0
11446,1049.9999995231628
11776,1150.0
12194,1249.9999980926514
13490,1350.0
17290,1349.9999961853027
18428,1350.0000038146973
21514,1425.000005722046
22618,1475.0
22836,1550.0000047683716
23030,1650.0
23210,1725.0000047683716
23403,1749.9999923706055
23609,1824.9999980926514
23814,1925.0
24021,2025.0000076293945
24244,2125.0
24474,2225.000005722046
24711,2325.0
24955,2425.0
25194,2525.0
25454,2625.0
25724,2725.0
26002,2825.0
26262,2925.0
26533,3025.0
26766,3124.999999523163
26996,3225.0
27209,3324.9999980926514
27438,3425.0
27672,3524.9999961853027
27901,3625.0000038146973
28127,3725.000005722046
28370,3825.0
28618,3925.0000047683716
28858,4025.0
29091,4125.000004768372
29331,4224.9999923706055
29567,4324.999998092651
29816,4425.0
30058,4525.0000076293945
30334,4625.0
30606,4725.000005722046
30879,4825.0
31149,4925.0
31418,5025.0
31693,5125.0
31968,5225.0
32242,5325.0
32511,5425.0
32723,5525.0
32927,5624.999999523163
33133,5725.0
33313,5824.999998092651
33510,5925.0
33700,5999.999996185303
33907,6100.000003814697
34111,6200.000005722046
34331,6300.0
34548,6400.000004768372
34762,6500.0
34982,6600.000004768372
35197,6699.9999923706055
35409,6799.999998092651
35630,6900.0
35845,7000.0000076293945
36057,7100.0
36277,7200.000005722046
36506,7300.0
36740,7400.0
36956,7500.0
37167,7600.0
37384,7700.0
37612,7800.0
37835,7900.0
38065,8000.0
38296,8099.999999523163
38529,8200.0
38772,8299.999998092651
39000,8400.0
39235,8499.999996185303
39453,8600.000003814697
39681,8700.000005722046
39926,8800.0
40153,8900.000004768372
40391,9000.0
40618,9100.000004768372
40839,9199.999992370605
41062,9299.999998092651
41299,9400.0
41521,9500.000007629395
41728,9600.0
41951,9700.000005722046
42162,9800.0
42371,9900.0
42586,10000.0
42798,10100.0
43009,10200.0
43224,10300.0
43434,10400.0
43652,10500.0
43873,10599.999999523163
44088,10700.0
44301,10799.999998092651
44496,10900.0
44714,10999.999996185303
44934,11100.000003814697
45160,11200.000005722046
45378,11300.0
45586,11400.000004768372
45794,11500.0
45998,11600.000004768372
46203,11699.999992370605
46424,11799.999998092651
46637,11900.0
46842,12000.000007629395
47066,12100.0
47279,12200.000005722046
47497,12300.0
47707,12400.0
47932,12500.0
48155,12600.0
48375,12700.0
48586,12800.0
48798,12900.0
48998,13000.0
49215,13099.999999523163
49436,13200.0
49649,13299.999998092651
49852,13400.0
