Step,Value
208,0
303,0.0
310,80.0
343,39.999999046325684
361,220.0
384,290.0
412,360.0
441,540.0000228881836
457,610.0
481,569.9999885559082
495,530.0
519,490.00001525878906
545,560.0000152587891
581,739.9999961853027
625,920.0000152587891
659,1320.0
696,1610.0
737,2009.9999389648438
777,2409.9999389648438
818,2809.9998626708984
858,3210.0
896,3500.0001068115234
930,3899.9998474121094
971,4300.000137329102
1007,4699.9998779296875
1048,5100.0
1089,5500.0
1124,5900.000076293945
1164,6299.999846458435
1206,6700.000305175781
1253,7099.999847412109
1307,7500.000152587891
1350,7899.999870300293
1392,8300.00015258789
1434,8700.00029373169
1478,9099.999694824219
1516,9499.999862670898
1557,9900.00016784668
1597,10299.999843597412
1635,10700.00032043457
1683,11100.000305175781
1727,11500.00015258789
1762,11900.000091552734
1803,12300.000091552734
1849,12700.000015258789
1889,13100.00015258789
1930,13500.000106811523
1972,13899.99984741211
2024,14300.000137329102
2112,14699.999877929688
2151,15000.0
2198,15400.0
2235,15800.000076293945
2274,16199.999846458435
2316,16600.00030517578
2355,16999.99984741211
2393,17400.00015258789
2430,17799.999870300293
2469,18200.00015258789
