Step,Value
208,0
311,0.0
321,-30.0
328,-70.00000190734863
353,-110.0
407,-150.0
454,-189.99999618530273
536,-230.00000381469727
570,-270.0
605,-309.99998474121094
662,-350.0
702,-389.99998474121094
745,-429.99998474121094
782,-470.00000762939453
819,-509.9999771118164
857,-550.0000190734863
914,-590.0
979,-629.9999847412109
1083,-559.9999923706055
1122,-589.9999961853027
1247,-630.0
1287,-660.0000057220459
1330,-700.0000038146973
1371,-739.9999771118164
1428,-780.0
1475,-819.9999809265137
1562,-750.0
1605,-780.0
1680,-710.0000114440918
1726,-529.9999809265137
1792,-569.9999809265137
1855,-609.9999771118164
1956,-539.9999942779541
2049,-350.0000011920929
2097,-379.99998354911804
2200,-309.99999940395355
2252,-339.99998474121094
2326,-269.99998235702515
2413,-90.00001239776611
