Step,Value
370,0
936,-74.15400695800781
3007,-55.826751708984375
3899,114.79859161376953
4728,236.94058227539062
5697,366.34342193603516
6851,406.5259552001953
7820,664.5755310058594
9006,875.7715454101562
10223,947.1678771972656
11145,1153.2698822021484
12158,1376.210090637207
13245,1580.8304443359375
14096,1849.5138244628906
15130,2020.7943420410156
15989,2229.4482421875
16888,2447.110107421875
17869,2708.6878509521484
18764,2994.1858520507812
19545,3269.1663360595703
20464,3485.994873046875
21304,3773.112579345703
22349,3967.387939453125
23246,4221.907318115234
24211,4496.5946044921875
25217,4733.903121948242
26208,4937.14436340332
27075,5216.185958862305
27968,5416.444633483887
28902,5632.423599243164
29719,5895.824928283691
30720,6037.859878540039
31708,6320.589019775391
32642,6586.5274658203125
33499,6760.477737426758
35118,6918.859786987305
35943,7192.285224914551
36697,7345.333541870117
37564,7548.510559082031
38535,7713.677642822266
39632,7980.962295532227
40502,8238.475158691406
41517,8519.174835205078
42352,8771.535705566406
43386,9038.346633911133
44572,9282.803115844727
45635,9537.856002807617
46584,9802.245498657227
47847,10073.783767700195
48950,10341.474136352539
49970,10608.998107910156
50844,10883.76416015625
51772,11150.608261108398
52955,11436.441276550293
53945,11719.225891113281
55012,11974.229545593262
56013,12253.551635742188
56863,12537.977172851562
57806,12685.443328857422
58719,12944.914154052734
59724,13219.316024780273
60903,13496.01180267334
61904,13748.360122680664
62908,14001.709564208984
63919,14263.580749511719
64940,14525.524063110352
65854,14680.503967285156
66829,14959.088775634766
67741,15217.589782714844
68779,15500.849685668945
69765,15762.697372436523
70778,16040.176864624023
71694,16290.676284790039
72558,16567.69627380371
73587,16831.607040405273
74671,17100.420379638672
75821,17343.025482177734
76711,17594.030960083008
77622,17872.77321624756
78513,18026.366241455078
79452,18303.98265838623
80389,18562.47802734375
81328,18823.336364746094
82152,19102.588104248047
83589,19267.16375732422
84448,19521.020431518555
85387,19674.525520324707
86338,19942.424072265625
87192,20202.83070373535
88202,20365.12074279785
89208,20504.462356567383
90278,20673.670700073242
91145,20948.002883911133
92357,21225.570892333984
93335,21498.45443725586
94336,21770.097122192383
95291,22036.342712402344
96167,22318.341995239258
97026,22574.134719848633
98195,22855.437454223633
99176,23118.198013305664
100053,23383.00732421875
101362,23542.824752807617
102302,23780.277488708496
103242,24064.268310546875
104309,24345.27446746826
105407,24596.366271972656
106359,24855.384399414062
107558,25139.25001525879
108515,25410.84700012207
109475,25667.254943847656
110673,25938.58763885498
111641,26195.380462646484
112580,26457.61051940918
113561,26623.523376464844
114454,26901.92024230957
115636,27190.19367980957
116608,27435.706588745117
117634,27712.41323852539
118643,27999.662170410156
119604,28239.825973510742
120666,28491.874786376953
121657,28770.89631652832
122649,29050.94288635254
123479,29322.7020111084
124366,29589.08042907715
125394,29851.534545898438
126493,30111.65562438965
127526,30381.215141296387
128539,30649.90216064453
129549,30930.920524597168
130521,31174.553833007812
131430,31451.66278076172
132748,31726.30369567871
133692,31983.7908782959
134948,32252.952117919922
136014,32527.08632659912
136912,32790.171875
137875,33067.75456237793
138849,33344.016693115234
139833,33619.38926696777
140958,33883.121994018555
141917,34156.45243835449
142834,34402.89938354492
144279,34667.86895751953
145238,34927.5235748291
146200,35191.61309814453
147146,35444.60237121582
148087,35708.175552368164
149234,35975.19529724121
