Step,Value
582,0
1189,-81.19058227539062
1719,-116.03253936767578
2505,-119.1562271118164
3534,-112.50848388671875
4669,-55.40022373199463
6104,67.04995536804199
7276,240.04885864257812
8206,356.0898742675781
9270,388.85802841186523
10514,352.92144775390625
11592,543.8110313415527
12986,684.9773712158203
14261,802.174446105957
15820,994.0515899658203
17174,1175.042495727539
18245,1367.869873046875
19693,1625.0369415283203
21343,1752.9594268798828
22601,2004.4765167236328
23928,2105.9458923339844
25279,2292.4890518188477
26753,2498.846481323242
28080,2767.729721069336
29421,2957.5848999023438
30694,3156.3371658325195
31637,3389.3103637695312
32834,3479.2326583862305
33748,3644.7632217407227
34904,3787.2183837890625
35792,3989.0211629867554
36786,4131.818937301636
37910,4401.875183105469
38675,4501.401229858398
39584,4629.605098724365
40366,4750.396881103516
41091,4894.587703704834
42033,5039.118225097656
42746,5227.6135177612305
43647,5368.208541870117
44398,5585.800323486328
45673,5729.877395629883
46884,5909.463821411133
48052,6109.041198730469
49060,6328.158157348633
50567,6586.209030151367
51524,6816.2763595581055
52471,6898.665283203125
53583,7171.491775512695
54678,7413.113540649414
55963,7667.830848693848
56920,7925.415328979492
57829,8188.457359313965
59315,8439.643898010254
60323,8581.937316894531
61284,8844.414381980896
62136,9056.598447799683
63113,9267.074844360352
64005,9519.15673828125
65547,9733.274837493896
66447,9882.856903076172
67394,10040.741344451904
68492,10303.929168701172
69316,10571.40013885498
70290,10682.768859863281
71398,10950.787506103516
72583,11163.113327026367
73643,11330.78759765625
74536,11586.153396606445
75372,11848.98373413086
76236,12051.439208984375
77283,12321.81568145752
78457,12591.423843383789
79407,12843.620834350586
80340,13110.565704345703
81308,13275.092506408691
82385,13456.035903930664
83532,13731.280006408691
84495,13914.822044372559
85361,14179.45280456543
86080,14380.808119773865
86971,14571.449827194214
87577,14819.89047241211
88501,14881.674667358398
89401,15140.494152069092
90286,15270.712432861328
91228,15408.473583221436
92171,15695.553619384766
93311,15948.654624938965
94202,15967.733993530273
95206,16241.64176940918
96314,16523.095245361328
97147,16598.035369873047
98350,16807.709869384766
99382,17068.447463989258
100257,17340.38459777832
101126,17607.39803314209
101940,17746.534393310547
102885,17952.96226501465
103912,18238.429397583008
105493,18348.20041656494
106448,18588.169006347656
107354,18865.75609588623
108626,19142.771186828613
109544,19411.89566040039
110430,19683.634428977966
111314,19955.09278678894
112326,20233.369705200195
113226,20496.272369384766
114187,20774.570079803467
115243,21046.415100097656
116175,21307.555767059326
117074,21564.62176513672
118304,21846.56455230713
119095,22076.930084228516
120005,22283.89259338379
121051,22525.551147460938
122135,22769.432388305664
123107,23043.6736907959
124031,23269.70669555664
124946,23560.27862548828
125854,23820.61595916748
126702,24093.79429626465
127927,24353.549728393555
128800,24622.126907348633
130568,24899.42111968994
131379,25045.25747680664
132426,25245.382179260254
133271,25420.422401428223
134268,25638.735870361328
135208,25897.544722557068
136470,26172.79984855652
137377,26398.151657104492
138629,26615.2138671875
139452,26810.28632736206
140287,27019.97428894043
141156,27234.139247894287
142179,27499.002868652344
143128,27692.50151824951
144819,27963.94905090332
146010,28180.840072631836
147202,28453.721923828125
148015,28613.66227722168
148800,28880.814727783203
149717,29143.069046020508
