Step,Value
382,0
873,-139.46095275878906
1299,-364.6944580078125
1903,-479.5472717285156
2611,-580.2102661132812
4472,-621.4135360717773
6657,-597.8171997070312
8309,-735.8197250366211
10851,-884.9827880859375
13530,-978.5838317871094
14245,-1177.67578125
16148,-1200.2313232421875
17986,-1245.2701721191406
19815,-1286.205551147461
21092,-1208.9068145751953
23286,-1039.4369888305664
25330,-1073.7528076171875
26816,-974.1001167297363
27962,-910.2120666503906
29299,-945.8556365966797
30137,-798.05908203125
31432,-773.3118782043457
32649,-511.17819595336914
33891,-390.69344329833984
35405,-214.68722534179688
37491,31.391364336013794
38510,143.48696899414062
40204,202.65249633789062
41930,324.91954803466797
43850,568.7408828735352
45422,683.7938117980957
46620,856.5659828186035
47775,1108.8334045410156
49193,1379.4306640625
50624,1630.214958190918
51870,1737.3413467407227
53278,1871.6150665283203
54590,2128.1917419433594
55705,2392.263916015625
56734,2432.671096801758
58096,2532.000846862793
59273,2783.8094482421875
60328,3037.5610313415527
61340,3312.02685546875
62329,3578.099136352539
63369,3786.9766235351562
64275,4067.9879417419434
65111,4338.375865936279
66108,4618.649513244629
67108,4903.9521484375
68851,5159.60333943367
69999,5350.945083618164
70845,5620.363372802734
71828,5691.443290710449
72888,5954.089775085449
73945,6205.892353057861
75014,6381.506855010986
75791,6509.120651245117
76715,6726.762283325195
77778,6930.73184967041
78616,7098.331871032715
79635,7303.755416870117
80638,7520.419677734375
81484,7660.622528076172
82353,7928.458526611328
83431,8128.981895446777
84308,8388.733459472656
85494,8608.896633148193
86431,8881.36508178711
87769,9081.62582397461
88905,9353.767013549805
90047,9618.523906707764
91006,9880.104076385498
91930,10150.142127990723
92871,10406.889083862305
93686,10659.056693315506
94750,10937.328521728516
95850,11205.593246459961
96892,11480.054512023926
97839,11751.246299743652
98852,12028.087406158447
100345,12295.206958770752
101757,12487.757202148438
102685,12625.755584716797
103858,12671.678810119629
105610,12913.147010803223
106665,13145.746078491211
107548,13405.942138671875
108453,13667.993667602539
109396,13942.575576782227
110611,14199.891014099121
111794,14458.186889648438
112860,14707.854839324951
114209,14966.991302490234
115449,15229.70703125
116403,15496.062469482422
117419,15778.73928451538
118284,16063.76191329956
119172,16337.570793151855
120143,16607.740142822266
121007,16869.2056953907
122048,17131.243698120117
123040,17400.436920166016
124198,17667.72808074951
125323,17818.219032287598
126265,18067.41044998169
127186,18231.872303009033
127954,18497.849365234375
129222,18753.30532836914
130262,19010.93891143799
131198,19299.758186340332
132099,19547.24449157715
132963,19811.35137939453
133868,20090.51792907715
134681,20349.277236938477
135653,20627.06615447998
136679,20879.76739501953
137666,21069.593044281006
138703,21311.43634033203
139571,21576.684646606445
140746,21852.705764770508
141511,22004.425548553467
142329,22281.499492645264
143219,22559.814292907715
144346,22832.675674438477
145316,22989.1577064991
146288,23254.05177307129
147196,23517.390197753906
148156,23784.643211364746
149773,24064.60994720459
