Step,Value
383,0
726,10.0
960,20.0
1205,30.0
1383,40.0
1558,50.0
1728,60.0
1884,70.0
2014,80.0
2181,90.0
2315,100.0
2458,110.0
2617,120.0
2744,130.0
2866,140.0
2986,150.0
3121,160.0
3243,170.0
3369,180.0
3470,190.0
3572,200.0
3693,210.0
3792,220.0
3898,230.0
3994,240.0
4092,250.0
4182,260.0
4272,270.0
4382,280.0
4471,290.0
4563,300.0
4648,310.0
4742,320.0
4821,330.0
4905,340.0
5019,350.0
5106,360.0
5187,370.0
5271,380.0
5361,390.0
5442,400.0
5538,410.0
5635,420.0
5712,430.0
5812,440.0
5900,450.0
5981,460.0
6072,470.0
6158,480.0
6235,490.0
6339,500.0
6435,510.0
6519,520.0
6602,530.0
6698,540.0
6781,550.0
6864,560.0
6936,570.0
7022,580.0
7106,590.0
7181,600.0
7273,610.0
7358,620.0
7442,630.0
7532,640.0
7607,650.0
7682,660.0
7766,670.0
7849,680.0
7940,690.0
8013,700.0
8099,710.0
8188,720.0
8276,730.0
8371,740.0
8449,750.0
8539,760.0
8615,770.0
8702,780.0
8784,790.0
8874,800.0
8958,810.0
9044,820.0
9134,830.0
9217,840.0
9304,850.0
9387,860.0
9470,870.0
9533,880.0
9612,890.0
9700,900.0
9776,910.0
9868,920.0
9951,930.0
10037,940.0
10115,950.0
10188,960.0
10269,970.0
10350,980.0
10434,990.0
10498,1000.0
10578,1010.0
10650,1020.0
10741,1030.0
10823,1040.0
10912,1050.0
10993,1060.0
11072,1070.0
11156,1080.0
11249,1090.0
11336,1100.0
11417,1110.0
11505,1120.0
11579,1130.0
11667,1140.0
11759,1150.0
11843,1160.0
11923,1170.0
12006,1180.0
12078,1190.0
12153,1200.0
12234,1210.0
12320,1220.0
12411,1230.0
12499,1240.0
12569,1250.0
12658,1260.0
12736,1270.0
12817,1280.0
12910,1290.0
13008,1300.0
13086,1310.0
13177,1320.0
13261,1330.0
13355,1340.0
13434,1350.0
13509,1360.0
13595,1370.0
13682,1380.0
13766,1390.0
13845,1400.0
13929,1410.0
14005,1420.0
14090,1430.0
14175,1440.0
14252,1450.0
14338,1460.0
14408,1470.0
14484,1480.0
14567,1490.0
14648,1500.0
14731,1510.0
14815,1520.0
14892,1530.0
14956,1540.0
15025,1550.0
15107,1560.0
15184,1570.0
15263,1580.0
15350,1590.0
15437,1600.0
15515,1610.0
15592,1620.0
15681,1630.0
15758,1640.0
15843,1650.0
15935,1660.0
16016,1670.0
16095,1680.0
16170,1690.0
16258,1700.0
16339,1710.0
16425,1720.0
16502,1730.0
16585,1740.0
16666,1750.0
16734,1760.0
16818,1770.0
16892,1780.0
16966,1790.0
17047,1800.0
17134,1810.0
17214,1820.0
17296,1830.0
17374,1840.0
17451,1850.0
17543,1860.0
17626,1870.0
17704,1880.0
17796,1890.0
17879,1900.0
17962,1910.0
18049,1920.0
