Step,Value
693,0
1122,10.0
1562,20.0
2667,30.0
2893,37.5
3047,47.5
4054,57.50000152587891
4174,64.99999771118165
4313,75.0
4456,84.9999984741211
4558,95.0
4657,104.9999984741211
4772,115.00000305175782
4876,125.00000076293946
4978,135.00000305175783
5072,144.99999618530273
5159,155.0
5239,164.9999984741211
5329,174.9999984741211
5402,185.00000457763673
5489,195.0
5585,205.00000305175783
5668,214.9999984741211
6632,225.00000228881837
6713,232.5
7675,242.5
8641,250.0
9601,257.5
9691,265.0
9769,275.0
9857,285.0
9947,295.00000152587893
10053,304.99999771118166
10147,315.0
10249,324.99999847412107
10354,335.0
10461,344.99999847412107
10575,355.00000305175774
10701,365.0000007629394
10819,375.00000305175774
10911,384.9999961853026
11041,394.9999999999999
11185,404.99999847412096
11732,414.99999847412096
11900,425.00000457763656
12002,434.99999999999983
12112,445.00000305175763
12215,454.9999984741209
12310,465.00000228881817
12397,474.9999999999998
12491,484.9999999999998
12586,494.9999999999998
12679,504.9999999999998
12773,514.9999999999998
12860,524.9999999999998
12941,534.9999999999998
13034,545.0000015258787
13124,554.9999977111814
13201,564.9999999999998
13283,574.9999984741208
13384,584.9999999999998
13475,594.9999984741208
13558,605.0000030517575
13645,615.0000007629392
13727,625.0000030517575
13819,634.9999961853024
13917,644.9999999999997
14004,654.9999984741207
14078,664.9999984741207
14156,675.0000045776363
14255,684.9999999999995
14346,695.0000030517574
14435,704.9999984741207
14525,715.000002288818
14628,724.9999999999997
14725,734.9999999999997
14816,744.9999999999997
14920,754.9999999999997
15012,764.9999999999997
15107,774.9999999999997
15211,784.9999999999997
15317,795.0000015258786
15421,804.9999977111813
15520,814.9999999999997
15617,824.9999984741207
15714,834.9999999999997
15813,844.9999984741207
15903,855.0000030517574
16004,865.0000007629391
16101,875.0000030517574
16195,884.9999961853023
16279,894.9999999999995
16366,904.9999984741206
16467,914.9999984741206
16556,925.0000045776362
16650,934.9999999999995
16743,945.0000030517574
16836,954.9999984741207
16915,965.000002288818
17006,974.9999999999997
17106,984.9999999999997
17198,994.9999999999997
17282,1004.9999999999997
17364,1014.9999999999997
17469,1024.9999999999995
17561,1034.9999999999995
17651,1045.0000015258784
17738,1054.999997711181
17829,1064.9999999999995
17920,1074.9999984741207
18018,1084.9999999999995
18106,1094.9999984741207
18195,1105.0000030517574
18287,1115.0000007629392
18379,1125.0000030517576
18457,1134.9999961853025
18549,1144.9999999999998
18641,1154.999998474121
18727,1164.999998474121
18812,1175.0000045776367
18905,1185.0
18995,1195.0000030517579
19079,1204.9999984741212
19163,1215.0000022888185
19248,1225.0
19331,1235.0
19422,1245.0
19513,1255.0
19587,1265.0
19691,1275.0
19791,1285.0
19880,1295.0000015258788
19960,1304.9999977111815
20054,1315.0
20151,1324.9999984741212
20238,1335.0
20331,1344.9999984741212
20425,1355.0000030517579
20509,1365.0000007629396
20602,1375.000003051758
20707,1384.999996185303
20802,1395.0000000000002
20888,1404.9999984741214
20994,1414.9999984741214
21080,1425.0000045776371
21170,1435.0000000000005
21263,1445.0000030517583
21354,1454.9999984741216
21456,1465.000002288819
21547,1475.0000000000005
21635,1485.0000000000005
21722,1495.0000000000005
21802,1505.0000000000005
21891,1515.0000000000005
21975,1525.0000000000005
22066,1535.0000000000005
22164,1545.0000015258793
22272,1554.999997711182
22365,1565.0000000000005
22456,1574.9999984741216
22557,1585.0000000000005
22638,1594.9999984741216
22720,1605.0000030517583
22801,1615.00000076294
22898,1625.0000030517585
22982,1634.9999961853034
23064,1645.0000000000007
23145,1654.9999984741219
23220,1664.9999984741219
23311,1675.0000045776376
23397,1685.000000000001
23480,1695.0000030517588
23554,1704.999998474122
23641,1715.0000022888194
23732,1725.000000000001
23817,1735.000000000001
23901,1745.000000000001
23982,1755.000000000001
24058,1765.000000000001
24134,1775.000000000001
24212,1785.000000000001
24290,1795.0000015258797
24374,1804.9999977111825
24473,1815.000000000001
24555,1824.999998474122
24639,1835.000000000001
24721,1844.999998474122
24799,1855.0000030517588
24885,1865.0000007629405
24971,1875.000003051759
25061,1884.9999961853039
25146,1895.0000000000011
25223,1904.9999984741223
25301,1914.9999984741223
25387,1925.000004577638
25466,1935.0000000000014
25556,1945.0000030517592
25639,1954.9999984741225
25717,1965.0000022888198
25797,1975.0000000000014
25877,1985.0000000000014
25962,1995.0000000000014
26051,2005.0000000000014
26134,2015.0000000000014
26215,2025.0000000000014
26298,2035.0000000000014
26387,2045.0000015258802
26474,2054.999997711183
26555,2065.0000000000014
26634,2074.9999984741225
26715,2085.0000000000014
26797,2094.9999984741225
26878,2105.0000030517594
26959,2115.000000762941
27046,2125.0000030517594
27133,2134.9999961853046
27220,2145.000000000002
27311,2154.999998474123
27391,2164.999998474123
27481,2175.0000045776387
27551,2185.000000000002
27637,2195.0000030517594
27715,2204.9999984741225
27796,2215.00000228882
27879,2225.0000000000014
27953,2235.0000000000014
28040,2245.0000000000014
28128,2255.0000000000014
28209,2265.0000000000014
28295,2275.0000000000014
28377,2285.0000000000014
28455,2295.00000152588
28536,2304.999997711183
28615,2315.0000000000014
28710,2324.9999984741225
28803,2335.0000000000014
28893,2344.9999984741225
28969,2355.0000030517594
29049,2365.000000762941
29133,2375.0000030517594
29222,2384.9999961853046
29308,2395.000000000002
29381,2404.999998474123
29465,2414.999998474123
29555,2425.0000045776387
29645,2435.000000000002
29728,2445.0000030517594
29810,2454.9999984741225
29892,2465.00000228882
29963,2475.0000000000014
30036,2485.0000000000014
30111,2495.0000000000014
30201,2505.0000000000014
30281,2515.0000000000014
30375,2525.0000000000014
30457,2535.0000000000014
30542,2545.00000152588
30628,2554.999997711183
30712,2565.0000000000014
30806,2574.9999984741225
30886,2585.0000000000014
30971,2594.9999984741225
31049,2605.0000030517594
31139,2615.000000762941
31220,2625.0000030517594
31307,2634.9999961853046
31387,2645.000000000002
31466,2654.999998474123
31555,2664.999998474123
31628,2675.0000045776387
31715,2685.000000000002
31803,2695.0000030517594
31891,2704.9999984741225
31986,2715.00000228882
32074,2725.0000000000014
32149,2735.0000000000014
32234,2745.0000000000014
32326,2755.0000000000014
32407,2765.0000000000014
32498,2775.0000000000014
32584,2785.0000000000014
32663,2795.00000152588
32737,2804.999997711183
32819,2815.0000000000014
32911,2824.9999984741225
32995,2835.0000000000014
33078,2844.9999984741225
33164,2855.0000030517594
33250,2865.000000762941
33335,2875.0000030517594
33411,2884.9999961853046
33494,2895.000000000002
33571,2904.999998474123
33648,2914.999998474123
33734,2925.0000045776387
33815,2935.000000000002
33893,2945.0000030517594
33975,2954.9999984741225
34060,2965.00000228882
34142,2975.0000000000014
34220,2985.0000000000014
34300,2995.0000000000014
34384,3005.0000000000014
34467,3015.0000000000014
34541,3025.0000000000014
34623,3035.0000000000014
34718,3045.00000152588
34788,3054.999997711183
34863,3065.0000000000014
34954,3074.9999984741225
35028,3085.0000000000014
35122,3094.9999984741225
35214,3105.0000030517594
35297,3115.000000762941
35390,3125.0000030517594
35476,3134.9999961853046
35559,3145.000000000002
35639,3154.999998474123
35718,3164.999998474123
35796,3175.0000045776387
35884,3185.000000000002
35973,3195.0000030517594
36059,3204.9999984741225
36134,3215.00000228882
36209,3225.0000000000014
36293,3235.0000000000014
36365,3245.0000000000014
36442,3255.0000000000014
36526,3265.0000000000014
36606,3275.0000000000014
36695,3285.0000000000014
36773,3295.00000152588
36855,3304.999997711183
36946,3315.0000000000014
37034,3324.9999984741225
37125,3335.0000000000014
37243,3344.9999984741225
37325,3355.0000030517594
37397,3365.000000762941
37477,3375.0000030517594
37560,3384.9999961853046
37644,3395.000000000002
37728,3404.999998474123
37815,3414.999998474123
37897,3425.0000045776387
37984,3435.000000000002
38076,3445.0000030517594
38151,3454.9999984741225
38244,3465.00000228882
38324,3475.0000000000014
38407,3485.0000000000014
38492,3495.0000000000014
38575,3505.0000000000014
38652,3515.0000000000014
38737,3525.0000000000014
38809,3535.0000000000014
38907,3545.00000152588
38995,3554.999997711183
39069,3565.0000000000014
39151,3574.9999984741225
39236,3585.0000000000014
39313,3594.9999984741225
39399,3605.0000030517594
39485,3615.000000762941
39574,3625.0000030517594
39657,3634.9999961853046
39756,3645.000000000002
39829,3654.999998474123
39914,3664.999998474123
39994,3675.0000045776387
40059,3685.000000000002
40137,3695.0000030517594
40212,3704.9999984741225
40304,3715.00000228882
40396,3725.0000000000014
40468,3735.0000000000014
40551,3745.0000000000014
40630,3755.0000000000014
40724,3765.0000000000014
40811,3775.0000000000014
40899,3785.0000000000014
40994,3795.00000152588
41063,3804.999997711183
41137,3815.0000000000014
41216,3824.9999984741225
41301,3835.0000000000014
41382,3844.9999984741225
41474,3855.0000030517594
41559,3865.000000762941
41645,3875.0000030517594
41732,3884.9999961853046
41810,3895.000000000002
41887,3904.999998474123
41970,3914.999998474123
42049,3925.0000045776387
42125,3935.000000000002
42220,3945.0000030517594
42306,3954.9999984741225
42381,3965.00000228882
42469,3975.0000000000014
42556,3985.0000000000014
42641,3995.0000000000014
42720,4005.0000000000014
42808,4015.0000000000014
42891,4025.0000000000014
42971,4035.0000000000014
43061,4045.00000152588
43146,4054.999997711183
43219,4065.0000000000014
43306,4074.9999984741225
43386,4085.0000000000014
43465,4094.9999984741225
43556,4105.000003051759
43638,4115.000000762941
43718,4125.000003051759
43790,4134.999996185305
43866,4145.000000000002
43940,4154.999998474123
44045,4164.999998474123
44119,4175.000004577638
44208,4185.000000000001
44289,4195.0000030517585
44373,4204.999998474122
44460,4215.000002288819
44550,4225.000000000001
44652,4235.000000000001
44736,4245.000000000001
44809,4255.000000000001
44888,4265.000000000001
44966,4275.000000000001
45042,4285.000000000001
45126,4295.00000152588
45205,4304.999997711183
45299,4315.000000000001
45388,4324.999998474122
45470,4335.000000000001
45549,4344.999998474122
45639,4355.0000030517585
45714,4365.0000007629405
45806,4375.0000030517585
45890,4384.999996185304
45980,4395.000000000001
46072,4404.999998474122
46178,4414.999998474122
46259,4425.000004577637
46347,4435.0
46419,4445.000003051758
46498,4454.999998474121
46585,4465.000002288818
46660,4475.0
46735,4485.0
46821,4495.0
46908,4505.0
46987,4515.0
47062,4525.0
47136,4535.0
47216,4545.000001525879
47292,4554.999997711182
47367,4565.0
47443,4574.999998474121
47526,4585.0
47602,4594.999998474121
47675,4605.000003051758
47751,4615.00000076294
47834,4625.000003051758
47908,4634.999996185303
47988,4645.0
48071,4654.999998474121
48146,4664.999998474121
48213,4675.000004577636
48301,4684.999999999999
48394,4695.000003051757
48475,4704.99999847412
48564,4715.000002288817
48648,4724.999999999999
48735,4734.999999999999
48829,4744.999999999999
48914,4754.999999999999
48992,4764.999999999999
49068,4774.999999999999
49142,4784.999999999999
49230,4795.000001525878
49315,4804.999997711181
49388,4814.999999999999
49477,4824.99999847412
49564,4834.999999999999
49647,4844.99999847412
49728,4855.000003051757
49811,4865.000000762939
49898,4875.000003051757
49980,4884.999996185302
50060,4894.999999999999
50134,4904.99999847412
50218,4914.99999847412
50295,4925.000004577635
50379,4934.999999999998
50465,4945.000003051756
50552,4954.999998474119
50639,4965.000002288816
50721,4974.999999999998
50802,4984.999999999998
50883,4994.999999999998
50957,5004.999999999998
51038,5014.999999999998
51126,5024.999999999998
51214,5034.999999999998
51297,5045.000001525877
51389,5054.99999771118
51479,5064.999999999998
51551,5074.999998474119
51635,5084.999999999998
51724,5094.999998474119
51791,5105.000003051756
51869,5115.000000762938
