Step,Value
2728,0
6328,2.5
9928,2.5
13528,2.4999999403953552
17128,2.5
20728,2.5
24328,2.4999999403953552
27928,2.5000000596046448
31528,2.5
34229,2.5000001192092896
37829,5.0
39671,5.000000149011612
40625,9.999999761581421
41590,17.50000011920929
45190,24.99999976158142
47924,24.999999403953552
48902,27.5
48998,35.000000953674316
49101,45.0
49182,54.999998569488525
49268,65.0
49337,74.99999928474426
49405,84.99999761581421
49458,95.00000476837158
49554,105.0
49625,114.99999761581421
49692,125.00000238418579
49778,135.00000476837158
49850,144.99999517202377
49936,154.9999976158142
50052,165.0
50124,175.00000232458115
50203,185.00000482797623
50280,194.99999523162842
50354,205.00000965595245
50431,214.99999046325684
50480,225.0000049173832
50551,234.99999976158142
50620,245.00000965595245
50718,254.99999499320984
50790,265.0000089406967
50878,274.99999046325684
50965,285.0000009536743
51009,295.0
51123,304.9999985694885
51207,315.0
51303,324.99999928474426
52276,334.9999976158142
52366,342.4999952316284
52451,352.49999046325684
52538,362.49998807907104
52614,372.4999928474426
52687,382.4999952316284
52752,392.4999856352806
52863,402.49998807907104
52957,412.49999046325684
53033,422.499992787838
53119,432.49999529123306
53197,442.49998569488525
53265,452.5000001192093
53353,462.4999809265137
53433,472.49999538064003
53512,482.49999022483826
53566,492.5000001192093
53640,502.4999854564667
53705,512.4999994039536
53775,522.4999809265137
53894,532.4999914169312
53996,542.4999904632568
54081,552.4999890327454
54177,562.4999904632568
54228,572.4999897480011
54295,582.499988079071
54393,592.4999952316284
54494,602.4999904632568
54603,612.499988079071
54703,622.4999928474426
54769,632.4999952316284
54864,642.4999856352806
54954,652.499988079071
55014,662.4999904632568
55095,672.499992787838
55166,682.4999952912331
55255,692.4999856948853
55339,702.5000001192093
55422,712.4999809265137
55512,722.49999538064
55543,732.4999902248383
55642,742.5000001192093
55733,752.4999854564667
55822,762.4999994039536
55895,772.4999809265137
55958,782.4999914169312
56047,792.4999904632568
56118,802.4999890327454
56218,812.4999904632568
56308,822.4999897480011
56361,832.499988079071
56439,842.4999952316284
56547,852.4999904632568
56647,862.499988079071
56751,872.4999928474426
56831,882.4999952316284
56908,892.4999856352806
57011,902.499988079071
57089,912.4999904632568
57184,922.499992787838
57254,932.4999952912331
57342,942.4999856948853
57427,952.5000001192093
57482,962.4999809265137
57558,972.49999538064
57662,982.4999902248383
57740,992.5000001192093
57822,1002.4999854564667
57922,1012.4999994039536
58007,1022.4999809265137
58099,1032.4999914169312
58161,1042.4999904632568
58238,1052.4999890327454
58311,1062.4999904632568
58401,1072.499989748001
58468,1082.499988079071
58545,1092.4999952316284
58637,1102.4999904632568
58725,1112.499988079071
58786,1122.4999928474426
58871,1132.4999952316284
58946,1142.4999856352806
59041,1152.499988079071
59119,1162.4999904632568
59231,1172.499992787838
59272,1182.499995291233
59375,1192.4999856948853
59465,1202.5000001192093
59548,1212.4999809265137
59587,1222.49999538064
59684,1232.4999902248383
59752,1242.5000001192093
59828,1252.4999854564667
59897,1262.4999994039536
59976,1272.4999809265137
60085,1282.4999914169312
60166,1292.4999904632568
60236,1302.4999890327454
60301,1312.4999904632568
60355,1322.499989748001
60434,1332.499988079071
60504,1342.4999952316284
60596,1352.4999904632568
60670,1362.499988079071
60777,1372.4999928474426
60838,1382.4999952316284
60923,1392.4999856352806
60988,1402.499988079071
61058,1412.4999904632568
61145,1422.499992787838
61238,1432.499995291233
61300,1442.4999856948853
61364,1452.5000001192093
61479,1462.4999809265137
61555,1472.49999538064
61607,1482.4999902248383
61687,1492.5000001192093
61761,1502.4999854564667
61842,1512.4999994039536
61956,1522.4999809265137
62029,1532.4999914169312
62095,1542.4999904632568
62198,1552.4999890327454
62277,1562.4999904632568
62366,1572.499989748001
62450,1582.499988079071
62552,1592.4999952316284
62620,1602.4999904632568
62694,1612.499988079071
62766,1622.4999928474426
62831,1632.4999952316284
62899,1642.4999856352806
62987,1652.499988079071
63075,1662.4999904632568
63168,1672.499992787838
63254,1682.499995291233
63318,1692.4999856948853
63432,1702.5000001192093
63514,1712.4999809265137
63593,1722.49999538064
63654,1732.4999902248383
63751,1742.5000001192093
63811,1752.4999854564667
63875,1762.4999994039536
63967,1772.4999809265137
64056,1782.4999914169312
64141,1792.4999904632568
64214,1802.4999890327454
64287,1812.4999904632568
64395,1822.499989748001
64466,1832.499988079071
64539,1842.4999952316284
64619,1852.4999904632568
64730,1862.499988079071
64809,1872.4999928474426
64884,1882.4999952316284
64970,1892.4999856352806
65045,1902.499988079071
65152,1912.4999904632568
65208,1922.499992787838
65300,1932.499995291233
65369,1942.4999856948853
65444,1952.5000001192093
65526,1962.4999809265137
65586,1972.49999538064
65681,1982.4999902248383
65773,1992.5000001192093
65869,2002.4999854564667
65935,2012.4999994039536
66019,2022.4999809265137
66105,2032.4999914169312
66184,2042.4999904632568
66262,2052.4999890327454
66348,2062.499990463257
