Step,Value
3600,0
6387,0.0
6572,2.5
6700,12.500000381469727
6789,22.5
6873,32.5
6950,42.50000152587891
7898,52.5
7994,60.0
8070,70.00000076293945
8138,80.0
8214,90.00000228881837
8294,100.00000305175782
8387,110.00000305175782
8464,120.00000152587891
8551,129.99999618530273
8625,140.0
8717,149.99999389648437
9685,159.9999938964844
9756,167.50000610351563
9822,177.5
9896,187.49999771118166
9975,197.50000152587893
10053,207.50000152587893
10130,217.5
10207,227.5
10289,237.5
10381,247.5
10459,257.5000003814697
10541,267.5
10643,277.5
10741,287.50000152587893
10849,297.5
10934,307.5
11058,317.50000076293946
11148,327.5
11226,337.50000228881834
11348,347.50000305175774
11437,357.50000305175774
11509,367.5000015258788
11592,377.4999961853026
11668,387.4999999999999
11744,397.4999938964843
11829,407.4999938964843
11908,417.5000061035155
11985,427.4999999999999
12072,437.49999771118155
12159,447.5000015258788
12234,457.5000015258788
12319,467.4999999999999
12402,477.4999999999999
12476,487.4999999999999
12561,497.4999999999999
12634,507.5000003814696
12713,517.4999999999999
12781,527.4999999999999
12861,537.5000015258788
12949,547.4999999999999
13024,557.4999999999999
13097,567.5000007629394
13171,577.5
13242,587.5000022888183
13323,597.5000030517577
13390,607.5000030517577
13478,617.5000015258788
13562,627.4999961853026
13656,637.4999999999999
13733,647.4999938964843
13805,657.4999938964843
13889,667.5000061035155
13969,677.4999999999999
14043,687.4999977111815
14127,697.5000015258788
14200,707.5000015258788
14282,717.4999999999999
14365,727.4999999999999
14431,737.4999999999999
14504,747.4999999999999
14586,757.5000003814696
14663,767.4999999999999
14739,777.4999999999999
14822,787.5000015258788
14903,797.4999999999999
14983,807.4999999999999
15056,817.5000007629394
15135,827.5
15221,837.5000022888183
15290,847.5000030517577
15371,857.5000030517577
15451,867.5000015258788
15535,877.4999961853026
15612,887.4999999999999
15700,897.4999938964843
15779,907.4999938964843
15864,917.5000061035155
15953,927.4999999999999
16015,937.4999977111815
16099,947.5000015258788
16190,957.5000015258788
16269,967.4999999999999
16346,977.4999999999999
16430,987.4999999999999
16517,997.4999999999999
16598,1007.5000003814696
16684,1017.4999999999999
16762,1027.5
16853,1037.5000015258788
16929,1047.5
17004,1057.5
17079,1067.5000007629394
17155,1077.5
17226,1087.5000022888185
17308,1097.5000030517579
17382,1107.5000030517579
17464,1117.500001525879
17535,1127.499996185303
17612,1137.5000000000002
17696,1147.4999938964845
17766,1157.4999938964845
17839,1167.5000061035157
17915,1177.5
17989,1187.4999977111815
18075,1197.5000015258788
18150,1207.5000015258788
18231,1217.5
18307,1227.5
18392,1237.5
18463,1247.5
18543,1257.5000003814698
