Step,Value
715,0
1223,10.0
1664,20.0
1974,30.0
2277,40.0
2570,50.0
3590,60.0
3774,70.0
3897,80.0
4212,90.0
4592,100.0
4790,110.0
4979,120.0
5110,130.0
5301,140.0
5434,150.0
5583,160.0
5827,170.0
6024,180.0
6266,190.0
6556,200.0
6839,210.0
8622,220.0
8839,227.49999237060547
9100,237.49999237060547
9323,247.49999046325684
9497,257.49999046325684
9623,267.49999046325684
9791,277.49999046325684
9928,287.49999046325684
10083,297.49999046325684
10236,307.49999046325684
10381,317.49999046325684
10529,327.49999046325684
10666,337.49999046325684
10743,347.49999046325684
10876,357.49999046325684
11015,367.49999046325684
11132,377.49999046325684
11270,387.49999046325684
11412,397.49999046325684
11523,407.49999046325684
11630,417.49999046325684
11780,427.49999046325684
11948,437.49999046325684
12075,447.49999046325684
12175,457.49999046325684
12291,467.49999046325684
12417,477.49999237060547
12526,487.49999237060547
12638,497.49999046325684
12754,507.49999046325684
12885,517.4999904632568
13013,527.4999904632568
13128,537.4999904632568
13259,547.4999904632568
13380,557.4999904632568
13516,567.4999904632568
13659,577.4999904632568
13766,587.4999904632568
13906,597.4999904632568
14045,607.4999904632568
14177,617.4999904632568
14277,627.4999904632568
14401,637.4999904632568
14546,647.4999904632568
14673,657.4999904632568
14802,667.4999904632568
14916,677.4999904632568
15039,687.4999904632568
15164,697.4999904632568
15305,707.4999904632568
15449,717.4999904632568
15559,727.4999923706055
15667,737.4999923706055
15744,747.4999904632568
15888,757.4999904632568
15995,767.4999904632568
16125,777.4999904632568
16235,787.4999904632568
16406,797.4999904632568
16552,807.4999904632568
16667,817.4999904632568
16748,827.4999904632568
16904,837.4999904632568
17065,847.4999904632568
17240,857.4999904632568
17402,867.4999904632568
17537,877.4999904632568
17646,887.4999904632568
17848,897.4999904632568
18015,907.4999904632568
18198,917.4999904632568
18332,927.4999904632568
18508,937.4999904632568
18624,947.4999904632568
18751,957.4999904632568
18908,967.4999904632568
19068,977.4999923706055
19236,987.4999923706055
19379,997.4999904632568
19515,1007.4999904632568
