Step,Value
715,1.0
1223,1.0
1664,1.0
1974,1.0
2277,1.0
2570,1.0
3590,1.0
3774,1.0
3897,1.0
4212,1.0
4592,1.0
4790,1.0
4979,1.0
5110,1.0
5301,1.0
5434,1.0
5583,1.0
5827,1.0
6024,1.0
6266,1.0
6556,1.0
6839,1.0
8622,1.0
8839,1.0
9100,1.0
9323,1.0
9497,1.0
9623,1.0
9791,1.0
9928,1.0
10083,1.0
10236,1.0
10381,1.0
10529,1.0
10666,1.0
10743,1.0
10876,1.0
11015,1.0
11132,1.0
11270,1.0
11412,1.0
11523,1.0
11630,1.0
11780,1.0
11948,1.0
12075,1.0
12175,1.0
12291,1.0
12417,1.0
12526,1.0
12638,1.0
12754,1.0
12885,1.0
13013,1.0
13128,1.0
13259,1.0
13380,1.0
13516,1.0
13659,1.0
13766,1.0
13906,1.0
14045,1.0
14177,1.0
14277,1.0
14401,1.0
14546,1.0
14673,1.0
14802,1.0
14916,1.0
15039,1.0
15164,1.0
15305,1.0
15449,1.0
15559,1.0
15667,1.0
15744,1.0
15888,1.0
15995,1.0
16125,1.0
16235,1.0
16406,1.0
16552,1.0
16667,1.0
16748,1.0
16904,1.0
17065,1.0
17240,1.0
17402,1.0
17537,1.0
17646,1.0
17848,1.0
18015,1.0
18198,1.0
18332,1.0
18508,1.0
18624,1.0
18751,1.0
18908,1.0
19068,1.0
19236,1.0
19379,1.0
19515,1.0
19654,1.0
19815,1.0
19943,1.0
20070,1.0
20186,1.0
20351,1.0
20507,1.0
20627,1.0
20807,1.0
20986,1.0
21190,1.0
21343,1.0
21494,1.0
21644,1.0
21781,1.0
21919,1.0
22036,1.0
22126,1.0
22249,1.0
22409,1.0
22547,1.0
22681,1.0
22839,1.0
22980,1.0
23105,1.0
23255,1.0
23373,1.0
23478,1.0
23587,1.0
23730,1.0
23876,1.0
23995,1.0
24133,1.0
24264,1.0
24391,1.0
24518,1.0
24656,1.0
24799,1.0
24945,1.0
25072,1.0
25219,1.0
25358,1.0
25508,1.0
25641,1.0
25742,1.0
25852,1.0
25986,1.0
26114,1.0
26232,1.0
26352,1.0
26475,1.0
26600,1.0
26713,1.0
26849,1.0
26981,1.0
27112,1.0
27239,1.0
27364,1.0
27469,1.0
27616,1.0
27741,1.0
27896,1.0
28056,1.0
28175,1.0
28261,1.0
28383,1.0
28487,1.0
28597,1.0
28711,1.0
28794,1.0
28921,1.0
29021,1.0
29180,1.0
29278,1.0
29403,1.0
29531,1.0
29637,1.0
29778,1.0
29886,1.0
29996,1.0
30106,1.0
30236,1.0
30356,1.0
30448,1.0
30582,1.0
30665,1.0
30764,1.0
30845,1.0
30961,1.0
31091,1.0
31191,1.0
31305,1.0
31437,1.0
31506,1.0
31627,1.0
31762,1.0
31842,1.0
31957,1.0
32069,1.0
32211,1.0
32316,1.0
32427,1.0
32535,1.0
32640,1.0
32758,1.0
32902,1.0
33048,1.0
33152,1.0
33276,1.0
33391,1.0
33535,1.0
33660,1.0
33779,1.0
33904,1.0
34013,1.0
34126,1.0
34254,1.0
34380,1.0
34474,1.0
34610,1.0
34727,1.0
34868,1.0
34963,1.0
35061,1.0
35197,1.0
35327,1.0
35415,1.0
35548,1.0
35633,1.0
35782,1.0
35904,1.0
36004,1.0
36160,1.0
36276,1.0
36402,1.0
36529,1.0
36639,1.0
36737,1.0
36854,1.0
36931,1.0
37020,1.0
37133,1.0
37201,1.0
37288,1.0
37431,1.0
37538,1.0
37655,1.0
37762,1.0
37887,1.0
38010,1.0
38101,1.0
38235,1.0
38338,1.0
38429,1.0
38535,1.0
38652,1.0
38797,1.0
38925,1.0
39037,1.0
39116,1.0
39239,1.0
39331,1.0
39431,1.0
39530,1.0
39667,1.0
39811,1.0
39916,1.0
40040,1.0
40183,1.0
40323,1.0
40470,1.0
40599,1.0
40696,1.0
40800,1.0
40898,1.0
40966,1.0
41047,1.0
41193,1.0
41282,1.0
41414,1.0
41542,1.0
41659,1.0
41746,1.0
41868,1.0
41984,1.0
42106,1.0
42241,1.0
42365,1.0
42468,1.0
42576,1.0
42668,1.0
42774,1.0
42904,1.0
43018,1.0
43132,1.0
43256,1.0
43373,1.0
43489,1.0
43613,1.0
43749,1.0
43836,1.0
43935,1.0
44032,1.0
44165,1.0
44291,1.0
44402,1.0
44547,1.0
44668,1.0
44794,1.0
44913,1.0
45004,1.0
45140,1.0
45247,1.0
45316,1.0
45468,1.0
45561,1.0
45705,1.0
45834,1.0
45954,1.0
46051,1.0
46169,1.0
46291,1.0
46396,1.0
46471,1.0
46602,1.0
46718,1.0
46824,1.0
46911,1.0
47026,1.0
47128,1.0
47203,1.0
47323,1.0
47400,1.0
47483,1.0
47583,1.0
47711,1.0
47814,1.0
47919,1.0
48016,1.0
48096,1.0
48232,1.0
48318,1.0
48430,1.0
48537,1.0
48645,1.0
48739,1.0
48846,1.0
48973,1.0
49063,1.0
49190,1.0
49272,1.0
49387,1.0
49472,1.0
49591,1.0
49698,1.0
49807,1.0
49915,1.0
50045,1.0
50180,1.0
50281,1.0
50388,1.0
50490,1.0
50624,1.0
50761,1.0
50886,1.0
50956,1.0
51006,1.0
51127,1.0
51275,1.0
51387,1.0
51486,1.0
51601,1.0
51698,1.0
51754,1.0
51853,1.0
51966,1.0
52095,1.0
52202,1.0
52288,1.0
52434,1.0
52560,1.0
52689,1.0
52829,1.0
52936,1.0
53033,1.0
53138,1.0
53197,1.0
53310,1.0
53430,1.0
53506,1.0
53618,1.0
53736,1.0
53845,1.0
53971,1.0
54080,1.0
54206,1.0
54310,1.0
54412,1.0
54518,1.0
54637,1.0
54754,1.0
54872,1.0
55002,1.0
55104,1.0
55212,1.0
55324,1.0
55398,1.0
55463,1.0
55591,1.0
55727,1.0
55836,1.0
55923,1.0
56038,1.0
56131,1.0
56251,1.0
56359,1.0
56459,1.0
56534,1.0
56663,1.0
56778,1.0
56902,1.0
57022,1.0
57105,1.0
57215,1.0
57327,1.0
57445,1.0
57532,1.0
57647,1.0
57772,1.0
57866,1.0
57960,1.0
58090,1.0
58202,1.0
58312,1.0
58397,1.0
58512,1.0
58605,1.0
58725,1.0
58798,1.0
58935,1.0
59057,1.0
59134,1.0
59265,1.0
59374,1.0
59455,1.0
59549,1.0
59632,1.0
59741,1.0
59872,1.0
59988,1.0
60101,1.0
60196,1.0
60314,1.0
60446,1.0
60565,1.0
60652,1.0
60751,1.0
60865,1.0
60942,1.0
61037,1.0
61138,1.0
61259,1.0
61324,1.0
61434,1.0
61536,1.0
61580,1.0
61695,1.0
61809,1.0
61897,1.0
62013,1.0
62093,1.0
62217,1.0
62306,1.0
62411,1.0
62507,1.0
62637,1.0
62754,1.0
62843,1.0
62934,1.0
63032,1.0
63146,1.0
63245,1.0
63366,1.0
63459,1.0
63560,1.0
63650,1.0
63775,1.0
63882,1.0
63990,1.0
64090,1.0
64202,1.0
64298,1.0
64414,1.0
64502,1.0
64608,1.0
64706,1.0
64817,1.0
64929,1.0
65052,1.0
65160,1.0
65246,1.0
65346,1.0
65456,1.0
65553,1.0
65678,1.0
65780,1.0
65888,1.0
65988,1.0
66105,1.0
66232,1.0
66296,1.0
66412,1.0
66517,1.0
66633,1.0
66729,1.0
66838,1.0
66938,1.0
67056,1.0
67147,1.0
67271,1.0
67371,1.0
67490,1.0
67585,1.0
67660,1.0
67763,1.0
67887,1.0
67962,1.0
68061,1.0
68187,1.0
68281,1.0
68380,1.0
68504,1.0
68611,1.0
68668,1.0
68788,1.0
68901,1.0
69023,1.0
69100,1.0
69217,1.0
69344,1.0
69458,1.0
69564,1.0
69664,1.0
69742,1.0
69837,1.0
69955,1.0
70069,1.0
70181,1.0
70305,1.0
70433,1.0
70538,1.0
70631,1.0
70751,1.0
70859,1.0
70962,1.0
71076,1.0
71146,1.0
71267,1.0
71367,1.0
71382,1.0
71492,1.0
71613,1.0
71727,1.0
71794,1.0
71871,1.0
71974,1.0
72051,1.0
72143,1.0
72208,1.0
72295,1.0
72369,1.0
72448,1.0
72561,1.0
72681,1.0
72797,1.0
72880,1.0
72954,1.0
73047,1.0
73150,1.0
73227,1.0
73325,1.0
73447,1.0
73527,1.0
73622,1.0
73698,1.0
73809,1.0
73941,1.0
74036,1.0
74120,1.0
74209,1.0
74285,1.0
74344,1.0
74444,1.0
74567,1.0
74654,1.0
74767,1.0
74852,1.0
74922,1.0
75019,1.0
75118,1.0
75204,1.0
75298,1.0
75423,1.0
75527,1.0
75637,1.0
75738,1.0
75846,1.0
75888,1.0
76011,1.0
76135,1.0
76205,1.0
76315,1.0
76427,1.0
76534,1.0
76656,1.0
76771,1.0
76856,1.0
76927,1.0
77037,1.0
77124,1.0
77242,1.0
77372,1.0
77484,1.0
77577,1.0
77680,1.0
77770,1.0
77889,1.0
77987,1.0
78095,1.0
78198,1.0
78300,1.0
78385,1.0
78478,1.0
78532,1.0
78633,1.0
78734,1.0
78832,1.0
78910,1.0
78992,1.0
79094,1.0
79208,1.0
79299,1.0
79388,1.0
79504,1.0
79587,1.0
79707,1.0
79792,1.0
79899,1.0
79987,1.0
80074,1.0
80191,1.0
80292,1.0
80389,1.0
80506,1.0
80614,1.0
80736,1.0
80850,1.0
80949,1.0
81056,1.0
81171,1.0
81247,1.0
81365,1.0
81455,1.0
81526,1.0
81629,1.0
81693,1.0
81793,1.0
81899,1.0
81983,1.0
82110,1.0
82171,1.0
82229,1.0
82318,1.0
82406,1.0
82478,1.0
82532,1.0
82628,1.0
82730,1.0
82832,1.0
82937,1.0
83015,1.0
83135,1.0
83246,1.0
83342,1.0
83418,1.0
83499,1.0
83586,1.0
83691,1.0
83799,1.0
83897,1.0
84011,1.0
84107,1.0
84202,1.0
84314,1.0
84407,1.0
84479,1.0
84589,1.0
84668,1.0
84760,1.0
84853,1.0
84913,1.0
84989,1.0
85085,1.0
85156,1.0
85240,1.0
85310,1.0
85429,1.0
85530,1.0
85616,1.0
85718,1.0
85822,1.0
85917,1.0
86026,1.0
86116,1.0
86220,1.0
86301,1.0
86416,1.0
86502,1.0
86612,1.0
86694,1.0
86799,1.0
86915,1.0
87020,1.0
87101,1.0
87184,1.0
87267,1.0
87342,1.0
87458,1.0
87553,1.0
87636,1.0
87706,1.0
87812,1.0
87909,1.0
88024,1.0
88121,1.0
88221,1.0
88320,1.0
88420,1.0
88500,1.0
88562,1.0
88676,1.0
88739,1.0
88835,1.0
88915,1.0
89011,1.0
89115,1.0
89179,1.0
89275,1.0
89353,1.0
89461,1.0
89552,1.0
89640,1.0
89754,1.0
89853,1.0
89950,1.0
90036,1.0
90108,1.0
90198,1.0
90276,1.0
90342,1.0
90448,1.0
90539,1.0
90641,1.0
90717,1.0
90809,1.0
90893,1.0
90963,1.0
91066,1.0
91146,1.0
91240,1.0
91357,1.0
91424,1.0
91524,1.0
91594,1.0
91687,1.0
91756,1.0
91844,1.0
91943,1.0
92041,1.0
92124,1.0
92218,1.0
92324,1.0
92432,1.0
92538,1.0
92610,1.0
92695,1.0
92803,1.0
92923,1.0
93002,1.0
93061,1.0
93159,1.0
93266,1.0
93342,1.0
93416,1.0
93502,1.0
93591,1.0
93685,1.0
93789,1.0
93863,1.0
93938,1.0
94038,1.0
94132,1.0
94192,1.0
94317,1.0
94402,1.0
94514,1.0
94625,1.0
94711,1.0
94811,1.0
94930,1.0
95003,1.0
95129,1.0
95274,1.0
95392,1.0
95490,1.0
95600,1.0
95683,1.0
95798,1.0
95903,1.0
95991,1.0
96071,1.0
96153,1.0
96241,1.0
96339,1.0
96449,1.0
96548,1.0
96637,1.0
96728,1.0
96792,1.0
96883,1.0
96976,1.0
97060,1.0
97168,1.0
97268,1.0
97376,1.0
97454,1.0
97503,1.0
97579,1.0
97696,1.0
97772,1.0
97870,1.0
97980,1.0
98067,1.0
98156,1.0
98257,1.0
98361,1.0
98457,1.0
98522,1.0
98612,1.0
98675,1.0
98763,1.0
98863,1.0
98947,1.0
99023,1.0
99120,1.0
99177,1.0
99274,1.0
99370,1.0
99473,1.0
99549,1.0
99614,1.0
99688,1.0
99810,1.0
99891,1.0
99974,1.0
