Step,Value
1764,0
2520,7.5
2696,17.5
2874,27.49999923706055
2999,37.5
4663,47.5
4806,54.9999984741211
5001,64.99999771118165
5088,75.0
5231,84.9999984741211
6199,95.0
6293,102.49999771118165
6381,112.5
6466,122.49999618530273
6560,132.50000457763673
6648,142.5
6736,152.5
8581,162.49999771118166
11306,167.50000305175783
11402,170.00000381469727
13247,180.0
13377,184.99999923706056
13465,194.99999237060547
13566,204.9999938964844
13680,215.00000610351563
13779,225.0
13907,235.0
14014,245.0
14122,254.99999923706054
14255,265.0
14355,275.0
14451,284.99999847412107
14557,294.99999771118166
14666,305.0
14795,314.99999847412107
14905,325.0
14994,334.99999771118166
15128,345.0
15269,354.99999618530273
15384,365.00000457763673
15510,375.0
15620,385.0
15721,394.99999771118166
15843,405.00000305175786
16541,415.00000381469727
16734,425.0
16833,434.9999992370606
16985,444.99999237060547
17114,454.9999938964844
17218,465.0000061035156
17323,475.0
17553,485.0
18516,495.0
19483,502.49999923706054
19578,510.0
19681,520.0
19778,529.9999984741211
19865,539.9999977111817
19964,550.0
20056,559.9999984741211
20172,570.0
20266,579.9999977111817
20358,590.0
20460,599.9999961853027
20572,610.0000045776367
20667,620.0
20749,630.0
20841,639.9999977111817
20925,650.0000030517579
21007,660.0000038146973
21111,670.0
21209,679.9999992370606
21303,689.9999923706055
21402,699.9999938964844
21499,710.0000061035156
21579,720.0
21677,730.0
21774,740.0
21852,749.9999992370606
21943,760.0
22037,770.0
22129,779.9999984741211
22219,789.9999977111817
22310,800.0
22378,809.9999984741211
22477,820.0
22560,829.9999977111817
22666,840.0
22764,849.9999961853027
22855,860.0000045776367
22942,870.0
23037,880.0
23129,889.9999977111817
23225,900.0000030517579
23313,910.0000038146973
23410,920.0
23495,929.9999992370606
23581,939.9999923706055
23666,949.9999938964844
23758,960.0000061035156
23846,970.0
23936,980.0
24024,990.0
24112,999.9999992370606
24199,1010.0
24288,1020.0
24387,1029.9999984741212
24480,1039.9999977111818
24584,1050.0
24677,1059.9999984741212
24753,1070.0
24844,1079.9999977111815
24936,1090.0
25035,1099.9999961853027
25131,1110.0000045776367
25229,1120.0
25326,1130.0
25420,1139.9999977111815
25515,1150.0000030517576
25604,1160.000003814697
25700,1169.9999999999998
25795,1179.9999992370604
25879,1189.9999923706052
25964,1199.9999938964843
26043,1210.0000061035155
26137,1219.9999999999998
26231,1229.9999999999998
26322,1239.9999999999998
26397,1249.9999992370604
26476,1259.9999999999998
26572,1269.9999999999998
26669,1279.999998474121
26768,1289.9999977111815
26857,1300.0
26958,1309.9999984741212
27073,1320.0
27169,1329.9999977111815
27262,1340.0
27346,1349.9999961853027
27435,1360.0000045776367
27523,1370.0
27609,1380.0
27712,1389.9999977111815
27805,1400.0000030517576
27901,1410.000003814697
27994,1419.9999999999998
28086,1429.9999992370604
28190,1439.9999923706052
28271,1449.9999938964843
28358,1460.0000061035155
28453,1469.9999999999998
28546,1479.9999999999998
28648,1489.9999999999998
28749,1499.9999992370604
28856,1509.9999999999998
28950,1519.9999999999998
29041,1529.999998474121
29149,1539.9999977111815
29247,1550.0
29328,1559.9999984741212
29433,1570.0
29514,1579.9999977111815
29604,1590.0
29688,1599.9999961853027
29768,1610.0000045776367
29873,1620.0
29967,1630.0
30068,1639.9999977111815
30164,1650.0000030517576
30252,1660.000003814697
30344,1669.9999999999998
30442,1679.9999992370604
30536,1689.9999923706052
30613,1699.9999938964843
30713,1710.0000061035155
30804,1719.9999999999998
30907,1729.9999999999998
30994,1739.9999999999998
31091,1749.9999992370604
31159,1759.9999999999998
31248,1769.9999999999998
31354,1779.999998474121
31445,1789.9999977111815
31550,1800.0
31685,1809.9999984741212
31821,1820.0
31975,1829.9999977111815
32123,1840.0
32247,1849.9999961853027
32386,1860.0000045776367
32488,1870.0
32579,1880.0
32690,1889.9999977111815
32807,1900.0000030517576
32902,1910.000003814697
32986,1919.9999999999998
33083,1929.9999992370604
33182,1939.9999923706052
33276,1949.9999938964843
33355,1960.0000061035155
33449,1969.9999999999998
33533,1979.9999999999998
33640,1989.9999999999998
33721,1999.9999992370604
33802,2009.9999999999998
33895,2019.9999999999998
33982,2029.999998474121
34065,2039.9999977111815
34156,2050.0
34243,2059.999998474121
34333,2070.0
34420,2079.9999977111815
34508,2090.0
34605,2099.9999961853027
34694,2110.000004577637
34779,2120.0
34865,2130.0
34944,2139.9999977111815
35032,2150.0000030517576
35121,2160.0000038146973
35202,2170.0
35287,2179.9999992370604
35380,2189.9999923706055
35473,2199.9999938964843
35562,2210.0000061035157
35650,2220.0
35739,2230.0
35816,2240.0
35897,2249.9999992370604
35987,2260.0
36067,2270.0
36161,2279.999998474121
36243,2289.9999977111815
36341,2300.0
36429,2309.999998474121
36496,2320.0
36573,2329.9999977111815
36663,2340.0
36746,2349.9999961853027
36814,2360.000004577637
36908,2370.0
36991,2380.0
37082,2389.9999977111815
37173,2400.0000030517576
37265,2410.0000038146973
37344,2420.0
37436,2429.9999992370604
37512,2439.9999923706055
37601,2449.9999938964843
37684,2460.0000061035157
37766,2470.0
37858,2480.0
37931,2490.0
38018,2499.9999992370604
38102,2510.0
38182,2520.0
38270,2529.999998474121
38365,2539.9999977111815
38445,2550.0
38529,2559.999998474121
38617,2570.0
38700,2579.9999977111815
38794,2590.0
38872,2599.9999961853027
38964,2610.000004577637
39055,2620.0
39152,2630.0
39228,2639.9999977111815
39321,2650.0000030517576
39415,2660.0000038146973
39506,2670.0
39605,2679.9999992370604
39684,2689.9999923706055
39763,2699.9999938964843
39850,2710.0000061035157
39939,2720.0
40030,2730.0
40118,2740.0
40200,2749.9999992370604
40279,2760.0
40350,2770.0
40426,2779.999998474121
40529,2789.9999977111815
40621,2800.0
40715,2809.999998474121
40794,2820.0
40877,2829.9999977111815
40969,2840.0
41039,2849.9999961853027
41120,2860.000004577637
41205,2870.0
41286,2880.0
41376,2889.9999977111815
41468,2900.0000030517576
41549,2910.0000038146973
41629,2920.0
41726,2929.9999992370604
41814,2939.9999923706055
41898,2949.9999938964843
41999,2960.0000061035157
42086,2970.0
42173,2980.0
42262,2990.0
42333,2999.9999992370604
42423,3010.0
42509,3020.0
42599,3029.999998474121
42684,3039.9999977111815
42779,3050.0
42865,3059.999998474121
42948,3070.0
43034,3079.9999977111815
43120,3090.0
43210,3099.9999961853027
43282,3110.000004577637
43372,3120.0
43444,3130.0
43535,3139.9999977111815
43641,3150.0000030517576
43724,3160.0000038146973
43798,3170.0
43886,3179.9999992370604
43971,3189.9999923706055
44052,3199.9999938964843
44134,3210.0000061035157
44216,3220.0
44297,3230.0
44378,3240.0
44458,3249.9999992370604
44546,3260.0
44628,3270.0
44729,3279.999998474121
44825,3289.9999977111815
44916,3300.0
45007,3309.999998474121
45091,3320.0
45181,3329.9999977111815
45262,3340.0
45340,3349.9999961853027
45443,3360.000004577637
45530,3370.0
45620,3380.0
45705,3389.9999977111815
45779,3400.0000030517576
45864,3410.0000038146973
45961,3420.0
46052,3429.9999992370604
46139,3439.9999923706055
46215,3449.9999938964843
46295,3460.0000061035157
46385,3470.0
46473,3480.0
46550,3490.0
46643,3499.9999992370604
46723,3510.0
46815,3520.0
46900,3529.999998474121
46981,3539.9999977111815
47055,3550.0
47140,3559.999998474121
47226,3570.0
47300,3579.9999977111815
47382,3590.0
47460,3599.9999961853027
47545,3610.000004577637
47641,3620.0
47725,3630.0
47803,3639.9999977111815
47894,3650.0000030517576
47980,3660.0000038146973
48056,3670.0
48150,3679.9999992370604
48240,3689.9999923706055
48321,3699.9999938964843
48406,3710.0000061035157
48503,3720.0
48581,3730.0
48665,3740.0
48755,3749.9999992370604
48852,3760.0
48941,3770.0
49024,3779.999998474121
49118,3789.9999977111815
49202,3800.0
49286,3809.999998474121
49374,3820.0
49457,3829.9999977111815
49546,3840.0
49635,3849.9999961853027
49720,3860.000004577637
49807,3870.0
49886,3880.0
49972,3889.9999977111815
50050,3900.0000030517576
50136,3910.0000038146973
50217,3920.0
50301,3929.9999992370604
50399,3939.9999923706055
50478,3949.9999938964843
50572,3960.0000061035157
50659,3970.0
50747,3980.0
50839,3990.0
50926,3999.9999992370604
51004,4010.0
51092,4020.0
51172,4029.999998474121
51257,4039.9999977111815
51351,4050.0
51430,4059.999998474121
51526,4070.0
51605,4079.9999977111815
51691,4090.0
51777,4099.999996185303
51859,4110.000004577637
51958,4120.0
52047,4130.0
52133,4139.999997711182
52210,4150.0000030517585
52298,4160.000003814698
52379,4170.000000000001
52468,4179.999999237061
52550,4189.999992370606
52639,4199.999993896486
52717,4210.000006103517
52795,4220.000000000002
52874,4230.000000000002
52963,4240.000000000002
53041,4249.999999237062
53139,4260.000000000002
53221,4270.000000000002
53301,4279.999998474123
53378,4289.999997711183
53462,4300.000000000001
53552,4309.999998474122
53635,4320.000000000001
53720,4329.999997711183
53800,4340.000000000001
53885,4349.999996185304
53976,4360.000004577638
54046,4370.000000000001
54121,4380.000000000001
54200,4389.999997711183
54285,4400.000003051759
54365,4410.000003814699
54446,4420.000000000002
54529,4429.999999237062
54604,4439.999992370607
54680,4449.999993896487
54766,4460.000006103518
54851,4470.000000000003
54931,4480.000000000003
55019,4490.000000000003
55110,4499.999999237063
55198,4510.000000000003
55282,4520.000000000003
55375,4529.9999984741235
55457,4539.999997711184
55548,4550.000000000002
55633,4559.999998474123
55708,4570.000000000002
55790,4579.999997711184
55890,4590.000000000002
55972,4599.999996185305
56043,4610.000004577639
56122,4620.000000000002
56206,4630.000000000002
56285,4639.999997711184
56372,4650.00000305176
56453,4660.0000038147
56547,4670.000000000003
56630,4679.999999237063
56715,4689.999992370608
56806,4699.9999938964875
56889,4710.000006103519
56968,4720.000000000004
57064,4730.000000000004
57149,4740.000000000004
57242,4749.999999237064
57323,4760.000000000004
57408,4770.000000000004
57489,4779.999998474124
57576,4789.999997711185
57656,4800.000000000003
57743,4809.9999984741235
57825,4820.000000000003
57902,4829.999997711185
57990,4840.000000000003
58074,4849.9999961853055
58164,4860.00000457764
58250,4870.000000000003
58332,4880.000000000003
58413,4889.999997711185
58496,4900.000003051761
58581,4910.000003814701
58678,4920.000000000004
58753,4929.999999237064
58828,4939.999992370609
58906,4949.999993896488
58984,4960.00000610352
59071,4970.000000000005
59146,4980.000000000005
59223,4990.000000000005
59303,4999.999999237065
59386,5010.000000000005
59454,5020.000000000005
59535,5029.999998474125
59619,5039.999997711186
59708,5050.000000000004
59783,5059.999998474124
59864,5070.000000000004
59942,5079.999997711186
60022,5090.000000000004
60108,5099.999996185306
60179,5110.0000045776405
60259,5120.000000000004
60342,5130.000000000004
60429,5139.999997711186
60510,5150.000003051762
60603,5160.000003814702
60701,5170.000000000005
60775,5179.999999237065
60857,5189.99999237061
60949,5199.999993896489
61027,5210.000006103521
61097,5220.0000000000055
61181,5230.0000000000055
61258,5240.0000000000055
61342,5249.999999237066
61423,5260.0000000000055
61506,5270.0000000000055
61586,5279.999998474126
61672,5289.999997711187
61758,5300.000000000005
61844,5309.999998474125
61921,5320.000000000005
62005,5329.999997711187
62102,5340.000000000005
62181,5349.999996185307
62276,5360.000004577641
62368,5370.000000000005
62464,5380.000000000005
62551,5389.999997711187
62634,5400.000003051763
62720,5410.000003814703
62793,5420.0000000000055
62871,5429.999999237066
62959,5439.999992370611
63039,5449.99999389649
63128,5460.000006103522
63213,5470.000000000006
63286,5480.000000000006
63359,5490.000000000006
63433,5499.999999237067
63513,5510.000000000006
63595,5520.000000000006
63670,5529.999998474127
63759,5539.9999977111875
63849,5550.0000000000055
63930,5559.999998474126
64027,5570.0000000000055
64115,5579.9999977111875
64201,5590.0000000000055
64271,5599.999996185308
64353,5610.000004577642
64433,5620.0000000000055
64508,5630.0000000000055
64583,5639.9999977111875
64669,5650.000003051764
64743,5660.000003814704
64819,5670.000000000006
64897,5679.999999237067
64976,5689.999992370612
65048,5699.999993896491
65139,5710.0000061035225
65224,5720.000000000007
65308,5730.000000000007
65394,5740.000000000007
65471,5749.999999237068
65550,5760.000000000007
65630,5770.000000000007
65713,5779.999998474128
65795,5789.999997711188
65872,5800.000000000006
65942,5809.999998474127
66022,5820.000000000006
66107,5829.999997711188
66191,5840.000000000006
66268,5849.999996185309
66363,5860.000004577643
66450,5870.000000000006
66537,5880.000000000006
66630,5889.999997711188
66715,5900.000003051765
66794,5910.0000038147045
66879,5920.000000000007
66958,5929.999999237068
67038,5939.999992370613
67130,5949.999993896492
67216,5960.000006103523
67281,5970.000000000008
67366,5980.000000000008
67446,5990.000000000008
67527,5999.999999237069
67605,6010.000000000008
67690,6020.000000000008
67771,6029.999998474129
67857,6039.999997711189
67936,6050.000000000007
68009,6059.999998474128
68094,6070.000000000007
68165,6079.999997711189
68253,6090.000000000007
68333,6099.99999618531
68423,6110.000004577644
68500,6120.000000000007
68584,6130.000000000007
68665,6139.999997711189
68740,6150.000003051766
68819,6160.000003814705
68896,6170.000000000008
68980,6179.999999237069
69076,6189.999992370614
69158,6199.999993896493
69233,6210.000006103524
69315,6220.000000000009
69399,6230.000000000009
69472,6240.000000000009
69548,6249.9999992370695
69629,6260.000000000009
69712,6270.000000000009
69804,6279.99999847413
69881,6289.99999771119
69971,6300.000000000008
70054,6309.999998474129
70146,6320.000000000008
70231,6329.99999771119
70312,6340.000000000008
70391,6349.999996185311
70481,6360.000004577645
70566,6370.000000000008
70634,6380.000000000008
70717,6389.99999771119
70807,6400.000003051767
70896,6410.000003814706
70982,6420.000000000009
71067,6429.9999992370695
71163,6439.999992370615
71257,6449.999993896494
71350,6460.000006103525
71436,6470.00000000001
71513,6480.00000000001
71597,6490.00000000001
71687,6499.99999923707
71776,6510.00000000001
71856,6520.00000000001
71942,6529.999998474131
72030,6539.999997711191
72112,6550.000000000009
72183,6559.99999847413
72256,6570.000000000009
72337,6579.999997711191
72417,6590.000000000009
72499,6599.999996185312
72579,6610.000004577646
72657,6620.000000000009
72744,6630.000000000009
72824,6639.999997711191
72910,6650.000003051768
72988,6660.000003814707
73065,6670.00000000001
73145,6679.99999923707
73220,6689.9999923706155
73306,6699.999993896495
73388,6710.000006103526
73490,6720.000000000011
73564,6730.000000000011
73648,6740.000000000011
73731,6749.999999237071
73812,6760.000000000011
73898,6770.000000000011
73989,6779.999998474132
74071,6789.999997711192
74158,6800.00000000001
74240,6809.999998474131
74327,6820.00000000001
74400,6829.999997711192
74483,6840.00000000001
74556,6849.999996185313
74642,6860.000004577647
74719,6870.00000000001
74794,6880.00000000001
74876,6889.999997711192
74957,6900.0000030517685
75041,6910.000003814708
75122,6920.000000000011
75199,6929.999999237071
75285,6939.999992370616
75363,6949.999993896496
75440,6960.000006103527
75517,6970.000000000012
75596,6980.000000000012
75688,6990.000000000012
75770,6999.999999237072
75844,7010.000000000012
75920,7020.000000000012
76011,7029.999998474133
76084,7039.999997711193
76156,7050.000000000011
76245,7059.999998474132
76321,7070.000000000011
76406,7079.999997711193
76491,7090.000000000011
76571,7099.999996185314
76666,7110.000004577648
76742,7120.000000000011
76829,7130.000000000011
76906,7139.999997711193
76998,7150.000003051769
77091,7160.000003814709
77166,7170.000000000012
77242,7179.999999237072
77328,7189.999992370617
77413,7199.999993896497
77492,7210.000006103528
77573,7220.000000000013
77661,7230.000000000013
77757,7240.000000000013
77843,7249.999999237073
77925,7260.000000000013
78005,7270.000000000013
78087,7279.9999984741335
78177,7289.999997711194
78262,7300.000000000012
78340,7309.999998474133
78429,7320.000000000012
78513,7329.999997711194
78589,7340.000000000012
78667,7349.999996185315
78756,7360.000004577649
78837,7370.000000000012
78919,7380.000000000012
78994,7389.999997711194
79071,7400.00000305177
79158,7410.00000381471
79250,7420.000000000013
79345,7429.999999237073
79426,7439.999992370618
79510,7449.9999938964975
79599,7460.000006103529
79690,7470.000000000014
79787,7480.000000000014
79879,7490.000000000014
79958,7499.999999237074
80036,7510.000000000014
80116,7520.000000000014
80187,7529.999998474134
80278,7539.999997711195
80358,7550.000000000013
80445,7559.9999984741335
80524,7570.000000000013
80607,7579.999997711195
80695,7590.000000000013
80775,7599.9999961853155
80864,7610.00000457765
