Step,Value
127,0
179,0.0
298,100.0
320,199.99999237060547
349,300.0
373,400.0
433,500.00001525878906
489,600.0000076293945
529,700.0
565,799.9999694824219
609,900.0
618,999.9999694824219
664,1099.9999694824219
695,1200.000015258789
712,1299.9999542236328
723,1400.0000381469727
835,1500.0
859,1599.9999694824219
874,1699.9999694824219
889,1799.9999465942383
938,1900.0
943,2000.0000610351562
973,2099.999969482422
1045,2200.000045776367
1072,2300.0000610351562
1085,2400.0
1114,2403.8461685180664
1174,2507.4073791503906
1191,2610.7143325805664
